代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11305380.4400000013
真實報酬,1305380.4400000013
趨勢值,0.2648913994

選擇檔數,6
找到最佳解世代,4540
找到最佳解實驗,1
Stock#,AAPL,DD,GS,MSFT,PG,XOM,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,23908,30547,10482,49632,21883,19379,
剩餘資金,39.3200000001,21.6799999999,28.0000000000,23.4400000001,56.7200000001,72.0000000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1672164.8400000001,1683466.8499999999,1663206.9399999999,1683540.8800000004,1661632.9100000001,1668216.3200000001,10032232.7400000002,
FS(3),1651125.8000000000,1686521.5500000000,1644129.7000000000,1680562.9600000002,1659663.4399999999,1656976.5000000000,9978983.9499999993,
FS(4),1649691.3200000001,1739673.3300000001,1640985.1000000001,1681555.6000000003,1663602.3799999999,1672867.2799999998,10048379.0099999998,
FS(5),1665948.7600000002,1711875.5599999998,1616876.5000000000,1652769.0400000000,1655505.6700000002,1664728.1000000001,9967707.6300000008,
FS(6),1642758.0000000000,1675830.0999999999,1604298.1000000001,1638375.7600000000,1670386.1099999999,1657170.2900000000,9888822.3600000013,
FS(7),1661884.4000000001,1693241.8899999999,1618868.0800000001,1641353.6800000002,1683953.5700000001,1650387.6399999999,9949693.2599999998,
FS(8),1672403.9200000002,1757390.5900000001,1656288.8199999998,1675599.7600000000,1704523.5900000001,1667441.1600000001,10133651.8399999999,
FS(9),1683162.5200000003,1786715.7100000000,1677148.0000000000,1693963.6000000003,1717434.5600000001,1685076.0500000000,10243504.4400000013,
FS(10),1694160.2000000000,1775718.7900000000,1671487.7200000000,1709845.8400000003,1723124.1399999999,1697672.3999999999,10272013.0899999999,
FS(11),1703245.2400000000,1758917.9399999999,1652305.6599999999,1711831.1200000003,1698177.5199999998,1681975.4100000001,10206456.8900000006,
FS(12),1711613.0400000000,1789159.4700000000,1700732.5000000000,1719275.9200000002,1714370.9399999999,1692052.4900000000,10327208.3600000013,
FS(13),1723088.8799999999,1800461.8599999999,1659538.2400000000,1733172.8800000004,1738004.5800000001,1695346.9200000002,10349617.3599999994,
FS(14),1738150.9200000002,1797101.6899999999,1663416.5800000001,1735158.1600000001,1737785.7500000000,1696703.4500000000,10368320.5499999989,
FS(15),1780707.1600000001,1799239.9800000000,1674737.1400000001,1736647.1200000003,1728157.2300000000,1690502.1700000002,10409994.8000000007,
FS(16),1775686.4800000000,1807487.6699999999,1669286.5000000000,1716298.0000000000,1759012.2599999998,1705036.4200000002,10432811.3300000001,
FS(17),1792900.2400000000,1785188.3599999999,1653458.6800000002,1675599.7600000000,1770610.2500000000,1697866.1899999999,10375627.4799999986,
FS(18),1816808.2400000000,1767165.6299999999,1676728.7200000000,1673614.4800000002,1764045.3499999999,1713563.1799999999,10411929.5999999996,
FS(19),1796486.4400000002,1719206.8400000001,1699055.3800000001,1773374.8000000000,1750696.7200000000,1704842.6299999999,10443666.8100000005,
FS(20),1809874.9200000002,1701489.5800000001,1692346.8999999999,1765433.6800000002,1779144.6199999999,1709881.1700000002,10458174.8699999992,
FS(21),1764688.8000000000,1716457.6099999999,1699265.0200000003,1762952.0800000003,1804528.8999999999,1723446.4700000002,10471342.8800000008,
FS(22),1792900.2400000000,1707904.4499999997,1698636.1000000001,1763944.7200000002,1783958.8799999999,1721120.9900000000,10468469.3800000008,
FS(23),1785249.6800000002,1717068.5500000000,1686162.5200000003,1757492.5600000001,1767108.9700000000,1736817.9800000000,10449904.2600000016,
FS(24),1776164.6400000001,1694463.7699999998,1698636.1000000001,1763448.4000000001,1775862.1700000002,1740693.7799999998,10449272.8599999994,
FS(25),1799116.3200000001,1670637.1099999999,1710271.1199999999,1783797.5200000000,1779801.1099999999,1784877.8999999999,10528505.0800000001,
FS(26),1794573.8000000000,1684383.2600000000,1697587.8999999999,1818539.9200000002,1781989.4100000001,1782746.2100000000,10559824.5000000000,
FS(27),1779272.6800000002,1707904.4499999997,1714044.6400000001,1894973.2000000002,1812187.9500000000,1806582.3799999999,10714969.3000000007,
FS(28),1750344.0000000000,1682244.9700000000,1673374.4799999997,1861223.4400000002,1801465.2799999998,1782164.8399999999,10550821.0099999998,
FS(29),1778077.2800000003,1725621.7100000000,1710375.9399999999,1875120.4000000001,1805623.0500000000,1797086.6700000002,10691909.0500000007,
FS(30),1772817.5200000003,1725316.2399999998,1717398.8800000001,1865690.3200000003,1800152.3000000000,1801543.8399999999,10682923.1000000015,
FS(31),1776164.6400000001,1711264.6200000001,1707440.9799999997,1854274.9600000002,1811969.1199999999,1795923.9299999999,10657042.2500000000,
FS(32),1778316.3599999999,1722567.0100000000,1707965.0800000001,1893980.5600000001,1827287.2200000000,1794373.6100000001,10724493.8399999999,
FS(33),1803897.9200000002,1744560.8499999999,1710690.3999999999,1887032.0800000003,1845231.2799999998,1806582.3799999999,10797998.9100000020,
FS(34),1793139.3200000001,1750059.3099999998,1723268.8000000000,1878098.3200000003,1856610.4399999999,1846309.3299999998,10847489.5199999996,
FS(35),1771383.0400000000,1734480.3400000001,1736685.7600000000,1846333.8400000003,1850702.0299999998,1849797.5500000000,10789386.5600000005,
