代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11432406.1199999992
真實報酬,1432406.1199999992
趨勢值,0.1477105793

選擇檔數,3
找到最佳解世代,2185
找到最佳解實驗,1
Stock#,HD,MCD,PG,
分配資金,3333333,3333333,3333333,
張數,28482,33745,46328,
剩餘資金,84.5400000000,1.9000000000,33.3999999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3355548.9600000000,3367415.4500000002,3355107.1600000001,10078072.5700000003,
FS(3),3395138.9399999999,3413983.5499999998,3392169.5600000001,10201293.0499999989,
FS(4),3380328.3000000003,3438617.3999999999,3400508.6000000001,10219455.3000000007,
FS(5),3407955.8400000003,3434230.5499999998,3415333.5600000001,10257520.9499999993,
FS(6),3448115.4600000000,3474049.6499999999,3446836.6000000001,10369002.7100000009,
FS(7),3455805.6000000001,3467638.1000000001,3450542.8400000003,10373987.5399999991,
FS(8),3472040.3400000003,3483835.6999999997,3443593.6399999997,10399470.6799999997,
FS(9),3463780.5600000001,3488559.9999999995,3433401.4800000000,10385743.0399999991,
FS(10),3425614.6799999997,3469662.7999999998,3438034.2799999998,10333312.7599999979,
FS(11),3469476.9600000000,3498008.5999999996,3440813.9599999995,10408300.5199999996,
FS(12),3495965.2199999997,3537152.7999999998,3470000.6000000001,10503119.6199999992,
FS(13),3506218.7399999998,3526016.9499999997,3482045.8799999999,10514282.5700000003,
FS(14),3499098.2399999998,3504082.7000000002,3448226.4400000004,10451408.3800000008,
FS(15),3511915.1400000001,3460214.2000000002,3409310.9199999999,10381441.2599999998,
FS(16),3542106.0600000001,3741310.0500000003,3467684.1999999997,10751101.3099999987,
FS(17),3549226.5600000001,3799351.4500000002,3568679.2399999998,10917258.2500000000,
FS(18),3560619.3600000003,3785516.0000000000,3589990.1199999996,10936126.4800000004,
FS(19),3545239.0800000001,3767293.6999999997,3580724.5200000000,10893258.3000000007,
FS(20),3526725.7799999998,3811162.1999999997,3544588.6800000002,10882477.6600000001,
FS(21),3521314.1999999997,3800363.8000000003,3568215.9599999995,10889894.9599999990,
FS(22),3521599.0200000000,3787878.1499999999,3538566.0399999996,10848044.2100000009,
FS(23),3543530.1600000001,3783153.8500000001,3548758.1999999997,10875443.2099999990,
FS(24),3579132.6600000001,3782141.5000000000,3569605.7999999998,10930880.9599999990,
FS(25),3571157.6999999997,3792939.8999999999,3570069.0800000001,10934167.6799999997,
FS(26),3580841.5800000001,3808125.1499999999,3539029.3199999998,10927997.0500000007,
FS(27),3588246.9000000004,3823647.8500000001,3501040.3599999994,10912936.1099999994,
FS(28),3546093.5400000000,3810824.7500000000,3493164.6000000001,10850083.8900000006,
FS(29),3567739.8600000003,3820610.7999999998,3510305.9599999995,10898657.6200000010,
FS(30),3552074.7599999998,3841870.1499999999,3519108.2799999998,10913054.1899999995,
FS(31),3526440.9600000000,3783153.8500000001,3458881.8799999999,10768477.6899999995,
FS(32),3417924.5400000000,3710939.5499999998,3426452.2799999998,10555317.3699999992,
FS(33),3441849.4199999999,3747721.6000000001,3488531.7999999998,10678103.8200000003,
FS(34),3593943.3000000003,3743672.1999999997,3477876.3599999994,10815492.8599999994,
FS(35),3604196.8200000003,3797326.7500000000,3516328.6000000001,10917853.1699999999,
FS(36),3613311.0600000001,3823310.3999999999,3531153.5600000001,10967776.0199999996,
FS(37),3708725.7600000002,3843894.8499999996,3512622.3599999994,11065243.9699999988,
FS(38),3773949.5400000000,3862792.0499999998,3519571.5600000001,11156314.1500000004,
FS(39),3805279.7399999998,3856380.5000000000,3541809.0000000000,11203470.2400000002,
