代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11291562.3800000008
真實報酬,1291562.3800000008
趨勢值,0.1517840882

選擇檔數,3
找到最佳解世代,1845
找到最佳解實驗,1
Stock#,KO,VZ,WMT,
分配資金,3333333,3333333,3333333,
張數,78616,72669,54235,
剩餘資金,14.6000000001,5.9700000002,49.9000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3345125.3999999999,3379114.4700000002,3412516.1000000001,10136756.9700000007,
FS(3),3327043.7200000002,3307898.8500000006,3446684.1499999999,10081627.7200000007,
FS(4),3272012.5200000000,3289731.6000000006,3526951.9500000002,10088697.0700000003,
FS(5),3263364.7599999998,3257757.2400000002,3446141.7999999998,9967264.8000000007,
FS(6),3268867.8799999999,3276651.1800000006,3483021.5999999996,10028541.6600000001,
FS(7),3311320.5200000000,3265024.1400000001,3450480.5999999996,10026826.2599999998,
FS(8),3290094.2000000002,3208342.3200000003,3358281.1000000001,9856718.6200000010,
FS(9),3292452.6800000002,3260664.0000000000,3420109.0000000000,9973226.6800000016,
FS(10),3262578.6000000001,3228689.6400000001,3358823.4499999997,9850092.6900000013,
FS(11),3295597.3200000003,3260664.0000000000,3392991.5000000000,9949253.8200000003,
FS(12),3253144.6800000002,3227962.9500000002,3299707.3000000003,9780815.9300000016,
FS(13),3253930.8400000003,3333333.0000000000,3356111.7000000002,9943376.5400000010,
FS(14),3306603.5600000001,3418355.7300000000,3400042.0499999998,10125002.3399999999,
FS(15),3314465.1599999997,3417629.0400000005,3441260.6499999999,10173355.8500000015,
FS(16),3308175.8799999999,3506285.2200000002,3471089.8999999999,10285552.0000000000,
FS(17),3308962.0400000005,3562967.0400000005,3468378.1499999999,10340308.2300000023,
FS(18),3346697.7200000002,3561513.6600000001,3483021.5999999996,10391233.9800000004,
FS(19),3374213.3200000003,3631275.8999999999,3599084.5000000000,10604574.7200000007,
FS(20),3380502.6000000001,3688684.4100000001,3660912.3999999999,10730100.4100000001,
FS(21),3336477.6400000001,3626915.7599999998,3626202.0000000000,10589596.4000000004,
FS(22),3358490.1200000001,3678510.7500000000,3594203.3499999996,10631205.2200000007,
FS(23),3343553.0800000001,3664703.6400000001,3602338.6000000001,10610596.3200000003,
FS(24),3336477.6400000001,3703944.8999999999,3633794.8999999999,10674218.4399999995,
FS(25),3352987.0000000000,3687231.0300000003,3628371.4000000004,10668590.4300000016,
FS(26),3404087.3999999999,3644356.3200000003,3569255.2500000000,10617699.9700000007,
FS(27),3345125.3999999999,3632002.5899999999,3568170.5500000003,10545299.5400000010,
FS(28),3334119.1599999997,3589127.8800000004,3542680.0999999996,10465928.1400000006,
FS(29),3389150.3599999999,3641449.5600000001,3589322.2000000002,10619923.1200000010,
FS(30),3408804.3599999999,3650896.5300000003,3574136.4000000004,10633838.2900000010,
FS(31),3419024.4400000004,3656710.0500000003,3585525.7500000000,10661261.2400000002,
FS(32),3428458.3599999999,3701764.8300000001,3477598.1000000001,10607822.2900000010,
FS(33),3441036.9200000004,3695951.3100000001,3506884.9999999995,10643874.2300000004,
FS(34),3454401.6400000001,3711211.8000000003,3559492.9499999997,10725107.3900000006,
FS(35),3434747.6400000001,3679237.4400000004,3605592.7000000002,10719578.7800000012,
FS(36),3452043.1599999997,3693044.5500000003,3640303.1000000001,10785391.8100000005,
FS(37),3471697.1599999997,3714118.5600000001,3690199.3000000003,10876016.0199999996,
FS(38),3391508.8400000003,3707578.3500000006,3607219.7500000000,10706307.9400000013,
FS(39),3390722.6800000002,3686504.3399999999,3597999.8000000003,10675227.8200000003,
FS(40),3434747.6400000001,3739552.7100000004,3604507.9999999995,10778809.3500000015,
FS(41),3441036.9200000004,3787514.2500000000,3590949.2499999995,10819501.4200000018,
FS(42),3455973.9600000000,3770800.3800000004,3587152.7999999998,10813928.1400000006,
FS(43),3467766.3599999999,3764986.8600000003,3621863.2000000002,10854617.4200000018,
FS(44),3459904.7599999998,3794054.4600000004,3682064.0499999998,10936024.2699999996,
FS(45),3484275.7200000002,3812221.7100000004,3690199.3000000003,10986697.7300000004,
FS(46),3522797.5600000001,3803501.4300000006,3662539.4500000002,10988839.4400000013,
FS(47),3555816.2799999998,3802048.0500000003,3656031.2499999995,11013896.5800000001,
FS(48),3553457.8000000003,3817308.5400000005,3643014.8500000001,11013782.1900000013,
FS(49),3560533.2400000002,3818035.2300000000,3653319.5000000000,11031888.9700000007,
FS(50),3556602.4400000004,3827482.2000000002,3692911.0500000003,11076996.6900000013,
FS(51),3541665.3999999999,3866723.4600000004,3687487.5499999998,11095877.4100000001,
FS(52),3598268.9200000004,3897244.4400000004,3658200.6499999999,11153715.0100000016,
FS(53),3584904.2000000002,3868903.5300000003,3631083.1499999999,11084891.8800000008,
FS(54),3590407.3200000003,3883437.3300000001,3686402.8499999996,11160248.5000000000,
FS(55),3577042.6000000001,3866723.4600000004,3680979.3500000001,11124746.4100000020,
FS(56),3573897.9600000000,3844922.7599999998,3658742.9999999995,11077564.7200000007,
FS(57),3583331.8799999999,3892157.6100000003,3688029.8999999999,11163520.3900000006,
FS(58),3600627.3999999999,3880530.5700000003,3694538.1000000001,11175697.0700000003,
FS(59),3654086.2799999998,3927765.4199999999,3689656.9500000002,11271509.6500000004,
FS(60),3661947.8799999999,3927038.7300000000,3731417.8999999999,11320405.5099999998,
FS(61),3647010.8400000003,3929945.4900000002,3714605.0499999998,11291562.3800000008,
