代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11119759.3899999987
真實報酬,1119759.3899999987
趨勢值,0.1669418288

選擇檔數,3
找到最佳解世代,2506
找到最佳解實驗,1
Stock#,PFE,VZ,XOM,
分配資金,3333333,3333333,3333333,
張數,110963,61716,40180,
剩餘資金,4.4800000001,51.8400000001,0.2000000003,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,9999999.9999999981,
FS(2),3408787.8399999999,3358636.5600000005,3341369.0000000000,10108794.4000000004,
FS(3),3479804.1600000001,3338270.2800000007,3303198.0000000000,10121273.4399999995,
FS(4),3654016.0699999998,3303092.1600000006,3347396.0000000005,10304505.2300000004,
FS(5),3635152.3599999999,3209283.8400000003,3309626.8000000003,10154064.0000000000,
FS(6),3606301.9800000000,3220392.7200000002,3343378.0000000000,10170073.6999999993,
FS(7),3538614.5499999998,3185214.6000000001,3347797.7999999998,10071627.9499999993,
FS(8),3546381.9600000000,3206198.0400000005,3389183.2000000002,10141764.1999999993,
FS(9),3610740.5000000000,3165465.4800000004,3408469.6000000001,10184676.5800000001,
FS(10),3622946.4299999997,3169785.6000000001,3432577.6000000006,10225310.6299999990,
FS(11),3606301.9800000000,3169168.4400000004,3414094.8000000003,10189566.2199999988,
FS(12),3618507.9100000001,3192620.5200000000,3446640.6000000001,10257770.0299999993,
FS(13),3649577.5499999998,3214221.1200000001,3463918.0000000000,10327717.6699999981,
FS(14),3687304.9699999997,3193854.8400000003,3487624.2000000002,10368785.0099999998,
FS(15),3688414.6000000001,3087703.3200000003,3487222.4000000004,10263341.3200000003,
FS(16),3691743.4900000002,3119795.6400000001,3516955.6000000001,10328495.7300000004,
FS(17),3685085.7100000000,3132756.0000000000,3508919.6000000001,10326762.3099999987,
FS(18),3667331.6299999999,3113006.8800000004,3520973.6000000001,10301313.1099999994,
FS(19),3661783.4800000000,3190151.8800000004,3554323.0000000000,10406259.3599999994,
FS(20),3651796.8099999996,3148802.1600000006,3537045.6000000001,10337645.5699999984,
FS(21),3629604.2100000000,3143864.8800000004,3551912.2000000002,10325382.2899999991,
FS(22),3639590.8799999999,3167316.9600000004,3581243.6000000001,10388152.4399999995,
FS(23),3739457.5800000001,3127818.7200000002,3540260.0000000000,10407537.3000000007,
FS(24),3706168.6799999997,3137693.2800000007,3533429.3999999999,10377292.3599999994,
FS(25),3725032.3900000001,3137693.2800000007,3537447.4000000004,10400174.0700000003,
FS(26),3726142.0200000000,3154973.7600000002,3556332.0000000005,10437448.7799999993,
FS(27),3752773.1400000001,3152505.1200000001,3558742.7999999998,10464022.0600000005,
FS(28),3750553.8799999999,3180894.4800000004,3615798.3999999999,10547247.7599999998,
FS(29),3679537.5599999996,3156825.2400000002,3568386.0000000005,10404749.7999999989,
FS(30),3682866.4499999997,3176574.3600000003,3602940.8000000003,10462382.6099999994,
FS(31),3682866.4499999997,3143864.8800000004,3562359.0000000000,10389091.3300000001,
FS(32),3703949.4200000004,3161762.5200000000,3598922.7999999998,10464635.7400000002,
FS(33),3665112.3700000001,3141396.2400000002,3597315.6000000001,10403825.2099999990,
FS(34),3680647.1899999999,3109921.0800000005,3590083.2000000002,10380652.4699999988,
FS(35),3703949.4200000004,3063016.9200000004,3620620.0000000000,10387587.3399999999,
FS(36),3743896.1000000001,3064868.3999999999,3605753.3999999999,10414518.8999999985,
FS(37),3736128.6899999999,3032776.0800000005,3600128.2000000002,10369033.9699999988,
FS(38),3783842.7800000003,3059931.1200000001,3602940.8000000003,10446715.6999999993,
FS(39),3811583.5300000003,3076594.4400000004,3626647.0000000005,10514825.9700000007,
FS(40),3820460.5699999998,3095726.3999999999,3608164.2000000002,10524352.1699999981,
FS(41),3840433.9100000001,3124115.7600000002,3616602.0000000005,10581152.6699999999,
FS(42),3850420.5800000001,3141396.2400000002,3576823.7999999998,10568641.6199999992,
FS(43),3855968.7300000000,3112389.7200000002,3585663.3999999999,10554022.8499999996,
FS(44),3869284.2899999996,3133373.1600000006,3557135.6000000001,10559794.0499999989,
FS(45),3849310.9499999997,3142630.5600000005,3550706.8000000003,10542649.3099999987,
FS(46),3875942.0699999998,3129670.2000000002,3589681.4000000004,10595294.6699999999,
FS(47),3865955.4000000004,3193854.8400000003,3644728.0000000000,10704539.2399999984,
FS(48),3911450.2300000000,3179660.1600000006,3647942.4000000004,10739053.7900000010,
FS(49),3918108.0100000002,3206198.0400000005,3643120.8000000003,10767427.8499999996,
FS(50),3915888.7500000000,3250633.5600000005,3615396.6000000006,10781919.9100000001,
