代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,19103737.5899999999
真實報酬,9103737.5899999999
趨勢值,0.0556748996

選擇檔數,2
找到最佳解世代,2461
找到最佳解實驗,1
Stock#,AAPL,IBM,
分配資金,5000000,5000000,
張數,385802,57227,
剩餘資金,6.0799999997,77.0099999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5212191.0999999996,4968525.1499999994,10180716.2499999981,
FS(3),5127314.6600000001,5106442.2199999997,10233756.8800000008,
FS(4),5015432.0800000001,5024035.3399999999,10039467.4199999999,
FS(5),5108024.5600000005,4989126.8700000001,10097151.4300000016,
FS(6),4992283.9600000000,4847203.9100000001,9839487.8699999992,
FS(7),4888117.4199999999,4905003.1799999997,9793120.5999999996,
FS(8),4834105.1399999997,4883829.1900000004,9717934.3300000001,
FS(9),4702932.4600000000,4760791.1399999997,9463723.5999999996,
FS(10),4594907.9000000004,4814012.2500000000,9408920.1500000004,
FS(11),4537037.5999999996,4859793.8499999996,9396831.4499999993,
FS(12),4309414.4199999999,4691546.4699999997,9000960.8900000006,
FS(13),4564043.7400000002,5231769.3499999996,9795813.0899999999,
FS(14),4868827.3199999994,5154512.8999999994,10023340.2199999988,
FS(15),4868827.3199999994,5121321.2399999993,9990148.5599999987,
FS(16),4942129.7000000002,5242070.2099999990,10184199.9100000001,
FS(17),5000000.0000000000,5245503.8299999991,10245503.8300000001,
FS(18),5192901.0000000000,5426341.1499999994,10619242.1499999985,
FS(19),5127314.6600000001,5294146.7800000003,10421461.4399999995,
FS(20),4969135.8400000008,5244931.5600000005,10214067.4000000004,
FS(21),5042438.2199999997,5203728.1200000001,10246166.3399999999,
FS(22),5123456.6399999997,5349656.9699999997,10473113.6099999994,
FS(23),5154320.7999999998,5312459.4199999999,10466780.2199999988,
FS(24),5316357.6399999997,5288424.0799999991,10604781.7199999988,
FS(25),5497684.5800000001,5501880.7900000000,10999565.3699999992,
FS(26),5648147.3600000003,5540795.1499999994,11188942.5099999998,
FS(27),5393518.0400000000,5337639.2999999998,10731157.3399999999,
FS(28),5335647.7400000002,5445798.3299999991,10781446.0700000003,
FS(29),5470678.4400000004,5440647.8999999994,10911326.3399999999,
FS(30),5466820.4199999999,5370258.6900000004,10837079.1099999994,
FS(31),5208333.0800000001,5188849.0999999996,10397182.1799999997,
FS(32),5200617.0400000000,5236919.7800000003,10437536.8200000003,
FS(33),4996141.9799999995,5089274.1200000001,10085416.0999999996,
FS(34),5027006.1399999997,5081262.3399999999,10108268.4800000004,
FS(35),4791666.9199999999,4828319.0000000000,9619985.9199999999,
FS(36),4972993.8600000003,4944489.8100000005,9917483.6699999999,
FS(37),5023148.1200000001,4915876.3100000005,9939024.4299999997,
FS(38),4915123.5600000005,5091563.1999999993,10006686.7599999998,
FS(39),4922839.5999999996,5266677.8200000003,10189517.4199999999,
FS(40),4845679.2000000002,5096141.3599999994,9941820.5600000005,
FS(41),4868827.3199999994,5022890.7999999998,9891718.1199999992,
FS(42),5023148.1200000001,5121321.2399999993,10144469.3599999994,
FS(43),4895833.4600000000,5006294.9699999997,9902128.4299999997,
FS(44),4702932.4600000000,4910725.8799999999,9613658.3399999999,
FS(45),4579475.8199999994,4777386.9699999997,9356862.7899999991,
FS(46),4884259.4000000004,4993132.7599999998,9877392.1600000001,
FS(47),5108024.5600000005,5071533.7500000000,10179558.3100000005,
FS(48),5308641.5999999996,5173397.8100000005,10482039.4100000001,
FS(49),5285493.4799999995,5171108.7299999995,10456602.2099999990,
FS(50),5258487.3400000008,5220323.9499999993,10478811.2900000010,
FS(51),5493826.5600000005,5317037.5799999991,10810864.1400000006,
FS(52),5594135.0800000001,5262099.6600000001,10856234.7400000002,
FS(53),5601851.1200000001,5302730.8299999991,10904581.9499999993,
FS(54),5597993.0999999996,5294146.7800000003,10892139.8799999990,
FS(55),5933640.8400000008,5648954.1799999997,11582595.0199999996,
FS(56),5868054.5000000000,5625491.1099999994,11493545.6099999994,
FS(57),5868054.5000000000,5605461.6600000001,11473516.1600000001,
FS(58),6057097.4799999995,5652960.0700000003,11710057.5499999989,
FS(59),5887344.5999999996,5387999.0600000005,11275343.6600000001,
FS(60),5760029.9400000004,5409173.0499999998,11169202.9900000002,
FS(61),5794752.1200000001,5544801.0400000000,11339553.1600000001,
FS(62),5991511.1399999997,5586004.4799999995,11577515.6199999992,
FS(63),6211418.2800000003,5769703.1499999994,11981121.4299999997,
FS(64),6392745.2199999997,5849820.9499999993,12242566.1699999999,
FS(65),6527775.9200000009,5812051.1299999999,12339827.0500000007,
FS(66),6338732.9400000004,5651243.2599999998,11989976.1999999993,
FS(67),6412035.3200000003,5790877.1399999997,12202912.4599999990,
FS(68),6589504.2399999993,5820062.9100000001,12409567.1499999985,
FS(69),6624226.4200000009,5719915.6600000001,12344142.0800000001,
FS(70),6520059.8799999999,5681001.2999999998,12201061.1799999997,
FS(71),6485337.6999999993,5656965.9599999990,12142303.6599999983,
FS(72),6693670.7800000003,5804611.6200000001,12498282.4000000004,
FS(73),6801695.3399999999,5795455.2999999998,12597150.6399999987,
FS(74),6639658.5000000000,5747384.6200000001,12387043.1200000010,
FS(75),6709102.8600000003,5854971.3799999999,12564074.2400000002,
FS(76),6697528.7999999998,5868705.8599999994,12566234.6600000001,
FS(77),6909719.9000000004,5804039.3499999996,12713759.2500000000,
FS(78),6828701.4799999995,5727355.1699999999,12556056.6499999985,
FS(79),6874997.7199999997,5719915.6600000001,12594913.3799999990,
FS(80),6828701.4799999995,5833797.3899999997,12662498.8699999992,
FS(81),6898145.8399999999,5953974.0899999999,12852119.9299999997,
