代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13091616.7299999986
真實報酬,3091616.7299999986
趨勢值,0.0729770877

選擇檔數,5
找到最佳解世代,2603
找到最佳解實驗,1
Stock#,DIS,HD,TRV,V,VZ,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,52205,47460,33904,77669,50339,
剩餘資金,26.4499999999,35.6000000000,3.0399999999,23.2500000000,31.5300000002,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2028190.7000000000,2028476.0000000000,1991863.0400000000,1964272.2600000000,1973823.7200000002,9986625.7199999988,
FS(3),2062123.9500000000,2045087.0000000000,2011527.3599999999,1979029.3700000001,1960232.1900000002,10057999.8699999992,
FS(4),2083527.9999999998,2050307.6000000001,2012205.4400000002,1955728.6699999999,1929525.4000000001,10031295.1099999994,
FS(5),2075175.2000000000,2051731.3999999997,2023732.8000000000,1940194.8700000001,1931538.9600000002,10022373.2299999986,
FS(6),2068910.6000000001,2065969.3999999999,2037633.4400000002,1937864.8000000000,1941606.7600000002,10051985.0000000000,
FS(7),2020359.9500000002,2062647.2000000000,2030852.6399999999,1924661.0700000001,1958218.6300000001,9996739.4900000002,
FS(8),2021926.0999999999,2059325.0000000000,2027462.2400000000,1968155.7100000000,1959225.4100000004,10036094.4599999990,
FS(9),2004698.4500000000,2065020.1999999997,2012883.5200000000,1956505.3600000001,1959225.4100000004,9998332.9399999995,
FS(10),2008874.8499999999,2075936.0000000000,2023732.8000000000,1990679.7200000000,1964259.3100000005,10063482.6799999978,
FS(11),2037065.5500000000,2130040.4000000004,2030513.6000000001,2015533.8000000000,1963755.9200000002,10176909.2699999996,
FS(12),2058991.6499999999,2155194.1999999997,2044414.2400000000,1987572.9600000000,1963252.5300000003,10209425.5800000001,
FS(13),2052205.0000000000,2112480.2000000002,2088150.4000000001,1953398.5999999999,1961742.3600000001,10167976.5599999987,
FS(14),2049072.7000000000,2130040.4000000004,2044075.2000000000,1933981.3499999999,1933049.1300000001,10090218.7799999993,
FS(15),2049072.7000000000,2133837.2000000002,1966435.0400000000,1961165.5000000000,1902342.3400000003,10012852.7799999993,
FS(16),2065256.2500000000,2148075.2000000002,2005424.6399999999,1952621.9100000001,1897308.4400000002,10068686.4399999995,
FS(17),2054293.2000000000,2133362.6000000001,1990167.8400000001,1958835.4299999999,1879689.7900000005,10016348.8599999994,
FS(18),2049072.7000000000,2129565.7999999998,1968130.2400000000,1961942.1900000002,1873145.7200000002,9981856.6499999985,
FS(19),2035499.4000000001,2124819.8000000003,1970164.4800000000,1939418.1799999999,1893281.3200000003,9963183.1799999997,
FS(20),2030800.9500000000,2106785.0000000000,1976606.2400000000,1954175.2900000000,1895798.2700000000,9964165.7499999981,
FS(21),2053249.0999999999,2110581.7999999998,2009493.1200000001,1990679.7200000000,1902845.7300000002,10066849.4699999988,
FS(22),2031322.9999999998,2110107.2000000002,2013561.6000000001,2059805.1299999999,1890764.3700000003,10105561.2999999989,
FS(23),2088226.4500000000,2143803.8000000003,2038311.5200000000,2078445.6900000002,1904859.2900000005,10253646.7500000000,
FS(24),2112240.7499999995,2145227.6000000001,2011527.3599999999,2084659.2100000000,1919960.9900000002,10273615.9100000001,
FS(25),2139387.3499999996,2157567.2000000002,2025428.0000000000,2077669.0000000000,1908886.4100000004,10308937.9600000009,
FS(26),2154526.7999999998,2143803.8000000003,2029157.4400000002,2104076.4600000000,1908886.4100000004,10340450.9100000001,
FS(27),2168100.0999999996,2148549.8000000003,2030513.6000000001,2183298.8399999999,1908886.4100000004,10439348.7500000000,
FS(28),2163923.6999999997,2151397.3999999999,2013222.5600000001,2212036.3700000001,1897308.4400000002,10437888.4699999988,
FS(29),2181673.3999999999,2179873.3999999999,2000000.0000000000,2188735.6699999999,1919457.6000000003,10469740.0700000003,
FS(30),2171754.4499999997,2186043.2000000002,2005763.6799999999,2237667.1400000001,1914927.0900000003,10516155.5600000005,
FS(31),2153482.6999999997,2169432.2000000002,2010171.2000000000,2235337.0700000003,1904355.9000000001,10472779.0699999984,
FS(32),2168622.1499999999,2179873.3999999999,2015256.8000000000,2209706.2999999998,1915430.4800000002,10488889.1299999990,
FS(33),2179585.1999999997,2216892.2000000002,2029157.4400000002,2233007.0000000000,1936069.4700000002,10594711.3099999987,
FS(34),2170188.2999999998,2226858.8000000003,2009493.1200000001,2217473.2000000002,1937579.6400000004,10561593.0599999987,
