代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14522920.2200000025
真實報酬,4522920.2200000025
趨勢值,0.0939999271

選擇檔數,6
找到最佳解世代,2245
找到最佳解實驗,1
Stock#,BA,MMM,MRK,NKE,UNH,UTX,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,21625,17584,40316,64300,30558,19841,
剩餘資金,27.2500000001,54.4800000000,2.5599999999,9.9999999999,32.6800000000,22.0000000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000019,
FS(2),1675316.0000000002,1664731.7600000000,1706578.8399999999,1684027.0000000000,1588743.1000000001,1672816.7100000000,9992217.4100000020,
FS(3),1680073.5000000002,1677040.5600000001,1692065.0799999998,1700102.0000000000,1591798.9000000001,1686110.1800000002,10027194.2200000007,
FS(4),1646338.5000000002,1679150.6399999999,1698112.4799999997,1702674.0000000000,1591798.9000000001,1677975.3699999999,9996053.8899999987,
FS(5),1603088.5000000002,1679326.4800000000,1700531.4399999997,1684670.0000000000,1570713.8799999999,1657737.5500000000,9896071.8500000015,
FS(6),1659962.2500000002,1695327.9199999999,1717061.0000000000,1686599.0000000000,1600355.1399999999,1677578.5500000000,10036887.8600000013,
FS(7),1667098.5000000002,1703768.2400000000,1724721.0399999998,1689814.0000000000,1622968.0599999998,1685911.7700000000,10094285.6100000013,
FS(8),1625362.2500000002,1693042.0000000000,1742863.2399999998,1707175.0000000000,1614106.2400000000,1690078.3800000001,10072631.1100000013,
FS(9),1655421.0000000002,1707109.2000000000,1747298.0000000000,1710390.0000000000,1630607.5599999998,1702379.8000000000,10153209.5600000024,
FS(10),1663854.7500000002,1710801.8400000001,1728349.4799999997,1724536.0000000000,1638552.6399999999,1705554.3599999999,10171653.0700000003,
FS(11),1607629.7500000002,1716252.8799999999,1715045.1999999997,1727751.0000000000,1639774.9599999997,1697816.3699999999,10104274.1600000001,
FS(12),1627524.7500000002,1724693.2000000000,1723511.5599999998,1719392.0000000000,1662387.8799999999,1714284.4000000001,10171797.7900000010,
FS(13),1622767.2500000005,1736298.6399999999,1732784.2399999998,1713605.0000000000,1667277.1599999999,1725196.9500000000,10197933.2400000002,
FS(14),1603737.2500000002,1746673.2000000000,1741653.7600000000,1719392.0000000000,1711891.8400000001,1735514.2700000000,10258866.3200000003,
FS(15),1606548.5000000005,1749486.6399999999,1726333.6799999999,1707175.0000000000,1708530.4599999997,1747418.8699999999,10245497.1500000004,
FS(16),1628822.2500000000,1752651.7600000000,1733590.5599999998,1731609.0000000000,1718003.4399999999,1764283.7200000000,10328964.7300000004,
FS(17),1622551.0000000002,1768829.0400000000,1752135.9199999999,1786264.0000000000,1712503.0000000000,1781545.3900000001,10423832.3500000015,
FS(18),1600277.2500000002,1769884.0800000001,1730768.4399999997,1752185.0000000000,1705474.6599999999,1781743.8000000000,10340337.2300000023,
FS(19),1592708.5000000005,1790281.5200000000,1760199.1199999996,1733538.0000000000,1719836.9199999999,1780950.1600000001,10377518.2200000007,
FS(20),1613036.0000000002,1772521.6799999999,1753748.5599999998,1723893.0000000000,1713725.3199999998,1767855.0999999999,10344783.6600000001,
