代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12647867.3600000013
真實報酬,2647867.3600000013
趨勢值,0.0479270812

選擇檔數,3
找到最佳解世代,2878
找到最佳解實驗,1
Stock#,AAPL,MRK,MSFT,
分配資金,3333333,3333333,3333333,
張數,42183,67353,89702,
剩餘資金,32.3400000002,33.0299999999,6.6800000003,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3259934.5800000005,3349497.7199999997,3310907.5000000000,9920340.8000000007,
FS(3),3277651.4400000004,3350171.2500000000,3240939.9400000004,9868763.6300000008,
FS(4),3254450.7900000005,3375091.8599999999,3266056.5000000000,9895600.1500000004,
FS(5),3275120.4600000004,3353538.8999999999,3207750.2000000002,9836410.5600000005,
FS(6),3233359.2900000005,3335353.5899999999,3187118.7400000002,9755832.6200000010,
FS(7),3211424.1300000004,3359600.6699999999,3232866.7600000002,9803892.5600000005,
FS(8),3228297.3300000005,3577824.3899999997,3137782.6399999997,9943905.3599999994,
FS(9),3292837.3200000003,3569742.0299999998,3209544.2400000002,10072124.5900000017,
FS(10),3358642.8000000003,3537412.5899999999,3297452.2000000002,10193508.5900000017,
FS(11),3340082.2800000007,3536065.5299999998,3309113.4600000004,10185262.2700000014,
FS(12),3258247.2600000002,3499021.3799999999,3263365.4400000004,10020635.0800000019,
FS(13),3308866.8600000003,3490939.0199999996,3244528.0200000005,10044334.9000000004,
FS(14),3323630.9100000006,3458609.5800000001,3222999.5400000000,10005241.0300000012,
FS(15),3351471.6900000004,3475447.8300000001,3234660.8000000003,10061581.3200000022,
FS(16),3290728.1700000004,3501041.9699999997,3301937.3000000003,10093708.4400000013,
FS(17),3317303.4600000004,3538086.1199999996,3231969.7400000002,10087360.3200000003,
FS(18),3052394.2200000002,3560986.1399999997,3253498.2200000007,9866879.5800000001,
FS(19),3017804.1600000006,3516533.1599999997,3288482.0000000000,9822820.3200000003,
FS(20),3011898.5400000005,3604092.0599999996,3306422.3999999999,9922414.0000000019,
FS(21),3016538.6700000004,3567721.4399999999,3394330.3600000003,9978591.4700000007,
FS(22),3022444.2900000005,3507777.2699999996,3272335.6399999997,9802558.2000000011,
FS(23),3065892.7800000007,3604092.0599999996,3260674.3800000004,9930660.2200000007,
FS(24),3089093.4300000006,3605439.1199999996,3213132.3200000003,9907665.8700000010,
FS(25),3088671.6000000001,3621603.8399999999,3245425.0400000000,9955701.4800000004,
FS(26),3131698.2600000002,3688956.8399999999,3279511.8000000003,10100167.9000000022,
FS(27),3187801.6499999999,3697039.1999999997,3301040.2799999998,10185882.1300000008,
FS(28),3229984.6499999999,3751595.1299999999,3334230.0200000005,10315810.8000000007,
FS(29),3229562.8200000003,3704448.0299999998,3361140.6200000001,10295152.4700000007,
FS(30),3281026.0800000005,3711183.3300000001,3373698.8999999999,10365909.3100000005,
FS(31),3278073.2700000000,3734083.3499999996,3374595.9199999999,10386753.5400000010,
FS(32),3290306.3400000003,3750921.5999999996,3356655.5200000005,10397884.4600000009,
FS(33),3238421.2500000000,3707142.1499999999,3364728.7000000002,10310293.0999999996,
FS(34),3200878.3800000004,3759003.9600000000,3386257.1800000002,10346140.5199999996,
FS(35),3165444.6600000006,3773821.6199999996,3406888.6399999997,10346155.9199999999,
FS(36),3178943.2200000002,3783924.5699999998,3380875.0600000001,10343743.8499999996,
FS(37),3146040.4800000004,3765739.2599999998,3367419.7600000002,10279200.5000000000,
FS(38),3117777.8700000001,3789986.3399999999,3361140.6200000001,10268905.8300000001,
FS(39),3179786.8800000004,3816254.0099999998,3396124.3999999999,10392166.2900000010,
FS(40),3171350.2800000007,3838480.5000000000,3436490.3000000003,10446322.0800000019,
FS(41),3180208.7100000004,3800089.2900000000,3388948.2400000002,10369247.2400000002,
FS(42),3201300.2100000004,3843195.2100000000,3445460.5000000000,10489956.9199999999,
FS(43),3208049.4900000002,3831071.6699999999,3418549.8999999999,10457672.0600000005,
FS(44),3198347.3999999999,3856665.8099999996,3422137.9800000000,10477152.1900000013,
FS(45),3196660.0800000005,3870809.9399999999,3399712.4800000000,10467183.5000000019,
FS(46),3199612.8900000001,3860706.9899999998,3392536.3200000003,10452857.2000000011,
FS(47),3230406.4800000004,3818274.5999999996,3410476.7200000007,10459158.8000000007,
FS(48),3233781.1200000001,3826356.9600000000,3432902.2200000007,10493041.3000000007,
FS(49),3197925.5700000003,3757656.8999999999,3398815.4600000004,10354398.9299999997,
FS(50),3162070.0200000000,3751595.1299999999,3381772.0800000005,10295438.2300000004,
FS(51),3174303.0900000003,3789312.8099999996,3413167.7799999998,10376784.6800000016,
FS(52),3202143.8700000001,3796048.1099999999,3547720.7799999998,10545913.7599999998,
FS(53),3201300.2100000004,3771127.5000000000,3522604.2200000007,10495032.9300000016,
FS(54),3186114.3300000005,3744186.2999999998,3617688.3399999999,10547989.9700000007,
FS(55),3211002.3000000003,3681548.0099999998,3602439.0000000000,10494990.3100000005,
FS(56),3249388.8300000005,3622277.3699999996,3632937.6800000002,10504604.8800000008,
FS(57),3284400.7200000002,3717245.0999999996,3618585.3600000003,10620232.1800000016,
FS(58),3252763.4700000002,3773148.0899999999,3569249.2600000002,10595161.8200000003,
FS(59),3238843.0800000005,3753615.7199999997,3530677.3999999999,10523137.2000000011,
FS(60),3235046.6100000003,3770453.9699999997,3614997.2799999998,10620498.8600000013,
FS(61),3234624.7800000007,3823662.8399999999,3676891.6600000001,10735180.2800000012,
FS(62),3264152.8800000004,3796721.6399999997,3715463.5200000005,10776339.0400000010,
FS(63),3269636.6700000004,3802783.4099999997,3709184.3800000004,10781605.4600000009,
FS(64),3246857.8500000001,3785945.1599999997,3678685.7000000002,10711489.7100000009,
FS(65),3204674.8500000001,3779883.3899999997,3576425.4199999999,10560984.6600000001,
FS(66),3154477.0800000005,3717245.0999999996,3570146.2799999998,10441869.4600000009,
FS(67),3154477.0800000005,3707142.1499999999,3571940.3200000003,10433560.5500000007,
FS(68),3195816.4200000004,3845889.3300000001,3630246.6200000001,10671953.3700000010,
FS(69),3154477.0800000005,3761698.0800000001,3530677.3999999999,10446853.5600000005,
FS(70),3131276.4300000006,3766412.7900000000,3517222.1000000001,10414912.3200000022,
FS(71),3143931.3300000005,3742839.2399999998,3514531.0400000000,10401302.6100000013,
FS(72),3121152.5100000002,3775168.6799999997,3565661.1800000002,10461983.3700000010,
FS(73),3127479.9600000004,3789312.8099999996,3623967.4800000000,10540761.2500000019,
FS(74),3163335.5100000002,3803456.9399999999,3588983.7000000002,10555777.1500000004,
FS(75),3200878.3800000004,3855992.2799999998,3582704.5600000001,10639576.2200000007,
FS(76),3204253.0200000000,3891015.8399999999,3587189.6600000001,10682459.5200000014,
FS(77),3162070.0200000000,3872830.5299999998,3560279.0600000001,10595180.6099999994,
FS(78),3421495.4700000002,3874851.1199999996,3575528.3999999999,10871875.9900000002,
FS(79),3446805.2700000000,3855318.7500000000,3580013.5000000000,10882138.5199999996,
FS(80),3580103.5500000003,3817601.0699999998,3666127.4199999999,11063833.0400000010,
FS(81),3569557.8000000003,3955001.1899999999,3633834.7000000002,11158394.6900000013,
FS(82),3556059.2400000002,3944224.7100000000,3623967.4800000000,11124252.4300000016,
FS(83),3564495.8400000003,4015618.8899999997,3588086.6800000002,11168202.4100000001,
FS(84),3570823.2900000005,3921324.6899999999,3560279.0600000001,11052428.0400000010,
FS(85),3621442.8900000001,3948939.4199999999,3536956.5400000000,11107339.8500000015,
FS(86),3582212.7000000002,3846562.8599999999,3503766.8000000003,10932543.3600000013,
FS(87),3569557.8000000003,3761024.5499999998,3536059.5200000005,10866642.8700000010,
FS(88),3543404.3400000003,3692998.0199999996,3555793.9600000004,10792197.3200000003,
FS(89),3528640.2900000005,3718592.1599999997,3546823.7600000002,10794057.2100000009,
FS(90),3572510.6100000003,3723980.3999999999,3585395.6200000001,10881887.6300000008,
FS(91),3577994.3999999999,3754962.7799999998,3625761.5200000005,10958719.7000000011,
FS(92),3578838.0600000005,3796721.6399999997,3609615.1600000001,10985175.8600000013,
FS(93),3548466.3000000003,3764392.1999999997,3552205.8800000004,10865065.3800000008,
FS(94),3600773.2200000002,3763045.1399999997,3572837.3399999999,10936656.6999999993,
FS(95),3643378.0500000003,3795374.5800000001,3565661.1800000002,11004414.8100000005,
FS(96),3644221.7100000004,3771801.0299999998,3559382.0400000000,10975405.7800000012,
FS(97),3653923.8000000003,3810865.7699999996,3619482.3800000004,11084272.9500000011,
FS(98),3659407.5900000003,3804804.0000000000,3597056.8800000004,11061269.4700000007,
FS(99),3700746.9300000006,3826356.9600000000,3598850.9199999999,11125955.8100000005,
FS(100),3770348.8800000004,3818274.5999999996,3605130.0600000001,11193754.5400000010,
