代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12176371.3399999999
真實報酬,2176371.3399999999
趨勢值,0.0424482960

選擇檔數,3
找到最佳解世代,1848
找到最佳解實驗,1
Stock#,NKE,UNH,V,
分配資金,3333333,3333333,3333333,
張數,70145,33075,50306,
剩餘資金,42.5999999998,34.5000000000,57.4399999997,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3279321.3499999996,3278428.5000000000,3259383.1800000002,9817134.0299999993,
FS(3),3260382.1999999993,3271813.5000000000,3238757.7199999997,9770954.4199999981,
FS(4),3327721.3999999994,3305219.2500000000,3282020.8799999999,9914962.5299999993,
FS(5),3404179.4499999997,3462987.0000000000,3325787.1000000001,10192954.5499999989,
FS(6),3367002.5999999996,3430573.5000000000,3276487.2199999997,10074064.3199999984,
FS(7),3362092.4499999997,3391875.7500000000,3270450.5000000000,10024419.6999999993,
FS(8),3332631.5499999993,3409074.7500000000,3279505.5799999996,10021212.8799999990,
FS(9),3287037.2999999998,3417674.2500000000,3214107.7799999998,9918820.3300000001,
FS(10),3255472.0499999993,3455049.0000000000,3183421.1200000001,9893943.1699999981,
FS(11),3261785.0999999996,3498377.2500000000,3206561.8799999999,9966725.2299999986,
FS(12),3283530.0499999998,3493416.0000000000,3230205.6999999997,10007152.7499999981,
FS(13),3280022.7999999993,3615793.5000000000,3235739.3599999994,10131556.6599999983,
FS(14),3362092.4499999997,3765623.2500000000,3239763.8400000003,10367480.5399999991,
FS(15),3372614.1999999997,3704434.5000000000,3248315.8599999994,10325365.5599999987,
FS(16),3379628.6999999997,3691535.2500000000,3226181.2199999997,10297346.1699999981,
FS(17),3314393.8499999996,3638615.2500000000,3156758.9399999999,10109769.0399999991,
FS(18),3273008.2999999993,3587349.0000000000,3098403.9800000000,9958762.2799999993,
FS(19),3327721.3999999994,3618108.7500000000,3119029.4399999999,10064860.5899999999,
FS(20),3235831.4499999997,3514253.2500000000,3206058.8199999998,9956144.5199999977,
FS(21),3223906.7999999998,3548651.2500000000,3211592.4800000000,9984151.5299999993,
FS(22),3274411.1999999997,3565850.2500000000,3267432.1400000001,10107694.5899999999,
FS(23),3245651.7500000000,3569488.5000000000,3331320.7599999998,10146462.0099999998,
FS(24),3273709.7499999995,3599256.0000000000,3418350.1400000001,10291316.8899999987,
FS(25),3219698.0999999996,3558904.5000000000,3363516.6000000001,10142120.1999999993,
FS(26),3197953.1499999999,3522191.2500000000,3338363.6000000001,10058508.9999999981,
FS(27),3253367.6999999997,3604217.2500000000,3327296.2799999998,10184882.2299999986,
FS(28),3202863.2999999993,3633323.2500000000,3345406.4399999999,10181593.9899999984,
FS(29),3226712.5999999996,3632992.5000000000,3407282.8200000003,10266988.9199999999,
FS(30),3228115.5000000000,3619762.5000000000,3391184.8999999999,10239063.8999999985,
FS(31),3221802.4499999997,3630346.5000000000,3406779.7599999998,10258929.7099999990,
FS(32),3283530.0499999998,3630677.2500000000,3384645.1200000001,10298853.4199999999,
FS(33),3286335.8499999996,3639276.7500000000,3384645.1200000001,10310258.7199999988,
FS(34),3329825.7499999995,3724941.0000000000,3433441.9399999999,10488209.6899999995,
FS(35),3332631.5499999993,3849964.5000000000,3433441.9399999999,10616038.9899999984,
FS(36),3346660.5499999998,3817881.7500000000,3426902.1600000001,10591445.4599999990,
FS(37),3395762.0499999993,3772238.2500000000,3433441.9399999999,10601443.2399999984,
FS(38),3402075.0999999996,3759339.0000000000,3443000.0799999996,10604415.1799999997,
FS(39),3406283.7999999998,3758346.7500000000,3412313.4199999999,10576944.9699999988,
FS(40),3463802.6999999997,3783814.5000000000,3499845.8599999994,10747464.0599999987,
FS(41),3436446.1499999999,3732879.0000000000,3462619.4199999999,10631945.5699999984,
FS(42),3420312.7999999993,3764631.0000000000,3443000.0799999996,10627944.8799999990,
FS(43),3453280.9499999993,3796713.7500000000,3447527.6200000001,10697523.3199999984,
FS(44),3399269.2999999998,3733540.5000000000,3387160.4199999999,10519971.2199999988,
FS(45),3417506.9999999995,3800352.0000000000,3413822.6000000001,10631682.5999999996,
FS(46),3385240.2999999993,3719649.0000000000,3335345.2399999998,10440235.5399999991,
FS(47),3343854.7499999995,3728248.5000000000,3329811.5799999996,10401915.8299999982,
FS(48),3403478.0000000000,3799690.5000000000,3390681.8400000003,10593851.3399999999,
FS(49),3360689.5499999993,3811928.2500000000,3333333.0000000000,10505951.7999999989,
FS(50),3382434.4999999995,3920083.5000000000,3383639.0000000000,10686157.9999999981,
FS(51),3385941.7500000000,3889654.5000000000,3326793.2199999997,10602390.4699999988,
FS(52),3420312.7999999993,3967711.5000000000,3366534.9600000000,10754560.2599999979,
FS(53),3448370.7999999993,3994171.5000000000,3361001.3000000003,10803544.5999999996,
FS(54),3576736.1499999999,3940590.0000000000,3391184.8999999999,10908512.0499999989,
FS(55),3558498.4499999993,3937282.5000000000,3374583.9199999999,10870365.8699999992,
FS(56),3530440.4499999997,3906853.5000000000,3375590.0399999996,10812884.9900000002,
FS(57),3472220.0999999996,3854595.0000000000,3306670.8200000003,10633486.9199999999,
FS(58),3484144.7499999995,3845003.2500000000,3299627.9800000000,10628776.9800000004,
FS(59),3503083.8999999994,3903215.2500000000,3297112.6800000002,10703412.8300000001,
FS(60),3538857.8499999996,4002109.5000000000,3303149.3999999999,10844117.7499999981,
FS(61),3519217.2499999995,3912476.2500000000,3290572.8999999999,10722267.3999999985,
FS(62),3491860.6999999997,3884693.2500000000,3279002.5200000005,10655557.4700000007,
