代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14037655.5199999996
真實報酬,4037655.5199999996
趨勢值,0.1382839497

選擇檔數,8
找到最佳解世代,1887
找到最佳解實驗,1
Stock#,AAPL,BA,DD,KO,MCD,MMM,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10761,7963,15238,29904,10449,7020,7742,15723,
剩餘資金,109.8499999999,47.8900000000,26.8600000000,12.8000000001,90.6200000000,88.9999999999,54.1000000001,21.5000000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1248601.0699999998,1263138.9500000000,1259904.7000000000,1245514.3999999999,1248537.1399999999,1251895.3999999999,1253561.3200000001,1260219.9500000002,10031372.9299999997,
FS(3),1254950.0599999998,1263855.6199999999,1254266.6399999999,1248504.8000000000,1250835.9199999999,1247613.2000000000,1255651.6600000001,1274999.5700000001,10050677.4700000007,
FS(4),1268939.3599999999,1266961.1899999999,1246495.2599999998,1248205.7600000000,1261911.8599999999,1251263.5999999999,1257432.3200000001,1292609.3299999998,10093818.6799999997,
FS(5),1280561.2399999998,1260750.0499999998,1254114.2599999998,1235646.0800000001,1258463.6899999999,1244524.4000000001,1253871.0000000000,1285376.7500000000,10073307.4699999988,
FS(6),1281852.5599999998,1266722.2999999998,1251523.7999999998,1227272.9600000000,1256582.8699999999,1239680.6000000001,1251006.4600000002,1278458.6300000001,10053100.1799999997,
FS(7),1288739.5999999999,1269350.0899999999,1264323.7199999997,1227572.0000000000,1263165.7399999998,1248876.7999999998,1253406.4800000000,1286162.8999999999,10101597.3300000001,
FS(8),1283359.0999999999,1260511.1599999999,1264933.2400000000,1224581.6000000001,1275913.5199999998,1245717.8000000000,1257045.2200000002,1279402.0100000000,10091463.6499999985,
FS(9),1281099.2900000000,1264811.1799999999,1254266.6399999999,1222488.3200000001,1269644.1199999999,1245366.7999999998,1252709.7000000002,1276257.4099999999,10066643.4600000009,
FS(10),1291429.8499999999,1255574.0999999999,1244057.1799999999,1232655.6799999999,1282705.3699999999,1244454.2000000000,1243883.8200000001,1277672.4800000000,10072432.6799999997,
