代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12704280.0999999996
真實報酬,2704280.0999999996
趨勢值,0.0335237110

選擇檔數,2
找到最佳解世代,2288
找到最佳解實驗,1
Stock#,MRK,MSFT,
分配資金,5000000,5000000,
張數,88936,58173,
剩餘資金,18.0800000001,30.6499999998,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4992885.1200000001,5023269.1999999993,10016154.3200000003,
FS(3),5073816.8799999999,5067480.6799999997,10141297.5600000005,
FS(4),5068480.7200000007,5130307.5199999996,10198788.2400000002,
FS(5),5039131.8399999999,5135543.0899999999,10174674.9299999997,
FS(6),5051582.8799999999,5132052.7099999990,10183635.5899999999,
FS(7),5096050.8799999999,5108783.5099999988,10204834.3900000006,
FS(8),5122731.6800000006,5123908.4899999993,10246640.1700000018,
FS(9),5217003.8399999999,5212331.4499999993,10429335.2899999991,
FS(10),5520275.6000000006,5139615.1999999993,10659890.8000000007,
FS(11),5516718.1600000001,5243744.8699999992,10760463.0300000012,
FS(12),5436675.7600000007,5241417.9499999993,10678093.7100000009,
FS(13),5450016.1600000001,5235600.6499999994,10685616.8100000005,
FS(14),5447348.0800000001,5329259.1799999997,10776607.2599999998,
FS(15),5487369.2800000003,5346129.3499999996,10833498.6300000008,
FS(16),5441122.5599999996,5341475.5099999988,10782598.0700000003,
FS(17),5451794.8799999999,5371143.7399999993,10822938.6200000010,
FS(18),5517607.5199999996,5471783.0299999993,10989390.5500000007,
FS(19),5481143.7600000007,5463638.8099999996,10944782.5700000003,
FS(20),5393986.4799999995,5394994.6699999990,10788981.1500000004,
FS(21),5269476.0800000001,5527047.3799999999,10796523.4600000009,
FS(22),5323727.0400000000,5483417.6299999999,10807144.6699999999,
FS(23),5208110.2400000002,5339148.5899999999,10547258.8300000001,
FS(24),5016008.4799999995,5119254.6499999994,10135263.1299999990,
FS(25),4932408.6400000006,5312970.7399999993,10245379.3800000008,
FS(26),4969761.7600000007,5212913.1799999997,10182674.9400000013,
FS(27),4867485.3599999994,4945317.3799999999,9812802.7400000002,
FS(28),4879936.3999999994,5129725.7900000000,10009662.1899999995,
FS(29),4929740.5599999996,5184990.1399999987,10114730.6999999993,
FS(30),4882604.4799999995,5225711.2399999993,10108315.7200000007,
FS(31),4882604.4799999995,5282720.7799999993,10165325.2599999998,
FS(32),4979544.7200000007,5390340.8299999991,10369885.5500000007,
FS(33),5006225.5199999996,5351946.6499999994,10358172.1699999999,
FS(34),4889719.3599999994,5393831.2099999990,10283550.5700000003,
FS(35),4851476.8799999999,5322278.4199999990,10173755.3000000007,
FS(36),4853255.6000000006,5336239.9399999995,10189495.5400000010,
FS(37),4879936.3999999994,5471783.0299999993,10351719.4299999997,
FS(38),4985770.2400000002,5550898.3099999996,10536668.5500000007,
FS(39),4866596.0000000000,5479927.2500000000,10346523.2500000000,
FS(40),4822128.0000000000,5454912.8599999994,10277040.8599999994,
FS(41),4775881.2800000003,5401393.6999999993,10177274.9800000004,
FS(42),4834579.0400000000,5413028.2999999989,10247607.3399999999,
FS(43),4838136.4799999995,5447350.3699999992,10285486.8499999996,
FS(44),4829242.8799999999,5428735.0099999988,10257977.8900000006,
FS(45),4844362.0000000000,5460148.4299999997,10304510.4299999997,
FS(46),4870153.4399999995,5493307.0400000000,10363460.4800000004,
FS(47),4903949.1200000001,5616052.0699999994,10520001.1900000013,
FS(48),4923515.0400000000,5629431.8599999994,10552946.9000000004,
FS(49),4924404.3999999994,5492143.5799999991,10416547.9800000004,
FS(50),4873710.8799999999,5459566.6999999993,10333277.5800000001,
FS(51),4913732.0800000001,5478763.7900000000,10392495.8700000010,
FS(52),4951085.2000000002,5503196.4499999993,10454281.6500000004,
FS(53),4858591.7600000007,5403720.6199999992,10262312.3800000008,
FS(54),4859481.1200000001,5417682.1399999987,10277163.2599999998,
FS(55),4863927.9199999999,5379869.6899999995,10243797.6100000013,
FS(56),4813234.3999999994,5223384.3199999994,10036618.7200000007,
FS(57),4750089.8399999999,5071552.7900000000,9821642.6300000008,
FS(58),4806119.5199999996,5455494.5899999999,10261614.1099999994,
FS(59),4780328.0800000001,5204768.9599999990,9985097.0400000010,
FS(60),4899502.3200000003,5200115.1199999992,10099617.4400000013,
FS(61),4844362.0000000000,5309480.3599999994,10153842.3599999994,
FS(62),4737638.8000000007,5149504.6099999994,9887143.4100000001,
FS(63),4810566.3200000003,5218730.4799999995,10029296.8000000007,
FS(64),4850587.5199999996,5371143.7399999993,10221731.2599999998,
FS(65),4849698.1600000001,5374052.3899999987,10223750.5500000007,
FS(66),4745643.0400000000,5248980.4399999995,9994623.4800000004,
FS(67),4994663.8399999999,5280393.8599999994,10275057.6999999993,
FS(68),5024012.7200000007,5403138.8899999987,10427151.6100000013,
FS(69),4998221.2800000003,5343802.4299999997,10342023.7100000009,
FS(70),5046246.7200000007,5443859.9899999993,10490106.7100000009,
FS(71),5084489.2000000002,5414773.4899999993,10499262.6900000013,
FS(72),5216114.4799999995,5478182.0599999996,10694296.5399999991,
FS(73),5271254.8000000007,5588710.7599999988,10859965.5600000005,
FS(74),5240127.2000000002,5610234.7699999996,10850361.9700000007,
FS(75),5215225.1200000001,5591037.6799999997,10806262.8000000007,
FS(76),5232122.9600000000,5526465.6499999994,10758588.6099999994,
FS(77),5358412.0800000001,5546826.1999999993,10905238.2799999993,
FS(78),5344182.3200000003,5417100.4100000001,10761282.7300000004,
FS(79),5303271.7600000007,5369980.2799999993,10673252.0400000010,
FS(80),5283705.8399999999,5483417.6299999999,10767123.4700000007,
FS(81),5289042.0000000000,5574167.5099999988,10863209.5099999998,
FS(82),5235680.3999999994,5440369.6099999994,10676050.0099999998,
FS(83),5156527.3599999994,5526465.6499999994,10682993.0099999998,
FS(84),5096050.8799999999,5439787.8799999999,10535838.7599999998,
FS(85),5116506.1600000001,5472364.7599999988,10588870.9199999999,
FS(86),5136072.0800000001,5535773.3299999991,10671845.4100000001,
FS(87),5103165.7600000007,5597436.7099999990,10700602.4700000007,
FS(88),5048025.4399999995,5573585.7799999993,10621611.2200000007,
FS(89),5153859.2800000003,5639321.2699999996,10793180.5500000007,
FS(90),5163642.2400000002,5695749.0799999991,10859391.3200000003,
FS(91),5308607.9199999999,5683532.7500000000,10992140.6699999999,
FS(92),5307718.5599999996,5702729.8399999999,11010448.4000000004,
FS(93),5265029.2800000003,5661427.0099999988,10926456.2900000010,
FS(94),5313944.0800000001,5651537.5999999996,10965481.6800000016,
FS(95),5253467.6000000006,5595109.7900000000,10848577.3900000006,
FS(96),5259693.1200000001,5605580.9299999997,10865274.0500000007,
FS(97),5208999.6000000006,5677715.4499999993,10886715.0500000007,
FS(98),5198327.2800000003,5671898.1499999994,10870225.4299999997,
FS(99),5262361.2000000002,5739378.8299999991,11001740.0300000012,
FS(100),5258803.7600000007,5719018.2799999993,10977822.0400000010,
FS(101),5255246.3200000003,5721926.9299999997,10977173.2500000000,
FS(102),5193880.4799999995,5701566.3799999999,10895446.8599999994,
FS(103),5311276.0000000000,5756249.0000000000,11067525.0000000000,
FS(104),5294378.1600000001,5749849.9699999997,11044228.1300000008,
FS(105),5385982.2400000002,5863287.3199999994,11249269.5600000005,
FS(106),5515828.8000000007,5914479.5599999996,11430308.3600000013,
FS(107),5459799.1200000001,5944729.5199999996,11404528.6400000006,
FS(108),5507824.5599999996,5962181.4199999990,11470005.9800000004,
FS(109),5513160.7200000007,5868522.8899999987,11381683.6100000013,
FS(110),5565632.9600000000,5912152.6399999987,11477785.5999999996,
FS(111),5543398.9600000000,5878412.2999999989,11421811.2599999998,
FS(112),5553181.9199999999,5893537.2799999993,11446719.2000000011,
FS(113),5566522.3200000003,5866777.6999999993,11433300.0199999996,
FS(114),5474918.2400000002,5899936.3099999996,11374854.5500000007,
FS(115),5516718.1600000001,5824893.1399999987,11341611.3000000007,
FS(116),5424224.7200000007,5867359.4299999997,11291584.1500000004,
FS(117),5427782.1600000001,5867359.4299999997,11295141.5899999999,
FS(118),5450016.1600000001,5926114.1600000001,11376130.3200000003,
FS(119),5441122.5599999996,5883647.8699999992,11324770.4299999997,
FS(120),5466914.0000000000,5841181.5799999991,11308095.5800000001,
FS(121),5432228.9600000000,5723672.1199999992,11155901.0800000001,
FS(122),5400212.0000000000,5763811.4899999993,11164023.4900000002,
FS(123),5325505.7600000007,5674225.0699999994,10999730.8300000019,
FS(124),5362858.8799999999,5737633.6399999987,11100492.5199999996,
FS(125),5398433.2800000003,5736470.1799999997,11134903.4600000009,
FS(126),5377088.6400000006,5817912.3799999999,11195001.0200000014,
FS(127),5399322.6400000006,5762066.2999999989,11161388.9400000013,
FS(128),5482033.1200000001,5803369.1299999999,11285402.2500000000,
FS(129),5531837.2800000003,5884811.3299999991,11416648.6100000013,
FS(130),5515828.8000000007,5924950.6999999993,11440779.5000000000,
FS(131),5540730.8799999999,5940657.4100000001,11481388.2900000010,
FS(132),5505156.4799999995,5932513.1899999995,11437669.6699999999,
FS(133),5572747.8399999999,6061075.5199999996,11633823.3599999994,
FS(134),5593203.1200000001,6133210.0400000000,11726413.1600000001,
FS(135),5566522.3200000003,6102960.0799999991,11669482.4000000004,
FS(136),5561186.1600000001,6163460.0000000000,11724646.1600000001,
FS(137),5597649.9199999999,6115176.4100000001,11712826.3300000001,
FS(138),5559407.4399999995,6073291.8499999996,11632699.2900000010,
FS(139),5560296.8000000007,6182075.3599999994,11742372.1600000001,
FS(140),5575415.9199999999,6280969.4599999990,11856385.3800000008,
FS(141),5640339.2000000002,6262935.8299999991,11903275.0300000012,
FS(142),5735500.7199999997,6447344.2399999993,12182844.9600000009,
FS(143),5692811.4400000004,6376954.9100000001,12069766.3500000015,
FS(144),5646564.7200000007,6264099.2900000000,11910664.0100000016,
FS(145),5763960.2400000002,6129719.6600000001,11893679.9000000004,
FS(146),5858232.4000000004,6171022.4899999993,12029254.8900000006,
FS(147),5824436.7199999997,6182657.0899999999,12007093.8100000005,
FS(148),5800424.0000000000,6257700.2599999988,12058124.2599999998,
FS(149),5863568.5600000005,6285041.5699999994,12148610.1300000008,
FS(150),5889360.0000000000,6290277.1399999987,12179637.1400000006,
FS(151),5921376.9600000000,6333906.8899999987,12255283.8499999996,
FS(152),5931159.9199999999,6369392.4199999990,12300552.3399999999,
FS(153),5869794.0800000001,6379863.5599999996,12249657.6400000006,
FS(154),5876019.5999999996,6340887.6499999994,12216907.2500000000,
FS(155),5933828.0000000000,6294930.9799999995,12228758.9800000004,
FS(156),5910704.6399999997,6373464.5299999993,12284169.1699999999,
FS(157),5991636.4000000004,6262935.8299999991,12254572.2300000004,
FS(158),6123261.6799999997,6261772.3699999992,12385034.0500000007,
FS(159),6141938.2400000002,6258281.9899999993,12400220.2300000004,
FS(160),6240657.2000000002,6216979.1600000001,12457636.3600000013,
FS(161),6151721.2000000002,6165205.1899999995,12316926.3900000006,
FS(162),6140159.5200000005,6228032.0299999993,12368191.5500000007,
FS(163),6133934.0000000000,6257118.5299999993,12391052.5300000012,
FS(164),6140159.5200000005,6305983.8499999996,12446143.3700000010,
FS(165),6135712.7199999997,6375791.4499999993,12511504.1699999999,
FS(166),6103695.7599999998,6414185.6299999999,12517881.3900000006,
FS(167),6119704.2400000002,6516570.1099999994,12636274.3499999996,
FS(168),6095691.5200000005,6512498.0000000000,12608189.5200000014,
FS(169),6100138.3200000003,6534603.7399999993,12634742.0600000005,
FS(170),6043219.2800000003,6498536.4799999995,12541755.7599999998,
FS(171),6102806.4000000004,6311219.4199999990,12414025.8200000003,
FS(172),6170397.7599999998,6325762.6699999990,12496160.4299999997,
FS(173),6196189.2000000002,6294930.9799999995,12491120.1799999997,
FS(174),6186406.2400000002,6362993.3899999987,12549399.6300000008,
FS(175),6143716.9600000000,6471195.1699999990,12614912.1300000008,
FS(176),6213087.0400000000,6498536.4799999995,12711623.5199999996,
FS(177),6299354.9600000000,6568344.0799999991,12867699.0400000010,
FS(178),6223759.3600000003,6595103.6600000001,12818863.0200000014,
FS(179),6262891.2000000002,6523550.8699999992,12786442.0700000003,
FS(180),6262891.2000000002,6585795.9799999995,12848687.1799999997,
FS(181),6223759.3600000003,6497954.7500000000,12721714.1100000013,
FS(182),6294908.1600000001,6606738.2599999988,12901646.4199999999,
FS(183),6323367.6799999997,6646877.6299999999,12970245.3100000005,
FS(184),6294908.1600000001,6670728.5599999996,12965636.7200000007,
FS(185),6283346.4800000004,6657930.5000000000,12941276.9800000004,
FS(186),6254886.9600000000,6630589.1899999995,12885476.1500000004,
FS(187),6289572.0000000000,6655603.5799999991,12945175.5800000001,
FS(188),6309137.9199999999,6653276.6600000001,12962414.5800000001,
FS(189),6361610.1600000001,6725411.1799999997,13087021.3399999999,
FS(190),6381176.0800000001,6698651.5999999996,13079827.6800000016,
FS(191),6347380.4000000004,6699815.0599999996,13047195.4600000009,
FS(192),6334040.0000000000,6561363.3199999994,12895403.3200000003,
FS(193),6317142.1600000001,6522969.1399999987,12840111.3000000007,
FS(194),6355384.6399999997,6448507.6999999993,12803892.3399999999,
FS(195),6433648.3200000003,6530531.6299999999,12964179.9500000011,
FS(196),6265559.2800000003,6175676.3299999991,12441235.6100000013,
FS(197),6080572.4000000004,6161133.0799999991,12241705.4800000004,
FS(198),6208640.2400000002,6374046.2599999988,12582686.5000000000,
FS(199),6177512.6399999997,6259445.4499999993,12436958.0899999999,
FS(200),6334040.0000000000,6457233.6499999994,12791273.6500000004,
FS(201),6387401.5999999996,6440363.4799999995,12827765.0800000001,
FS(202),6422086.6399999997,6311801.1499999994,12733887.7899999991,
FS(203),6434537.6799999997,6321108.8299999991,12755646.5099999998,
FS(204),6454103.5999999996,6377536.6399999987,12831640.2400000002,
FS(205),6412303.6799999997,6288531.9499999993,12700835.6299999990,
FS(206),6273563.5200000005,5952292.0099999988,12225855.5300000012,
FS(207),6221980.6399999997,6300166.5499999989,12522147.1899999995,
FS(208),6261112.4800000004,6222214.7299999995,12483327.2100000009,
FS(209),6354495.2800000003,6041296.6999999993,12395791.9800000004,
FS(210),6480784.4000000004,6034315.9399999995,12515100.3400000017,
FS(211),6546597.0400000000,6213488.7799999993,12760085.8200000003,
FS(212),6503018.4000000004,6161714.8099999996,12664733.2100000009,
FS(213),6427422.7999999998,6175676.3299999991,12603099.1300000008,
FS(214),6503018.4000000004,6254209.8799999999,12757228.2800000012,
FS(215),6519916.2400000002,6266426.2099999990,12786342.4500000011,
FS(216),6677332.9600000000,6513079.7299999995,13190412.6899999995,
FS(217),6712907.3600000003,6500863.3999999994,13213770.7600000016,
FS(218),6657767.0400000000,6374046.2599999988,13031813.3000000007,
FS(219),6642647.9199999999,6216979.1600000001,12859627.0800000001,
