代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,1

初始資金,10000000.0000000000
最後資金,10581858.6099999994
真實報酬,581858.6099999994
趨勢值,0.8032224555

選擇檔數,5
找到最佳解世代,3270
找到最佳解實驗#,1
Stock#,CAT,DD,GS,MCD,VZ,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,16576,26281,10917,10061,35473,
剩餘資金,105.5999999999,15.9000000001,114.7700000000,74.4200000000,32.2599999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,9999999.9999999981,
FS(2),2023703.6799999999,1947700.8100000001,2073034.7300000000,2008551.8499999999,1994324.3200000001,10047315.3899999987,
FS(3),2040942.7200000000,1967411.5600000001,2057314.2500000000,2013582.3499999999,2023057.4500000000,10102308.3299999982,
FS(4),2045418.2399999998,1909593.3600000001,2072270.5400000000,2042960.4700000000,2041148.6799999999,10111391.2899999991,
FS(5),2063154.5599999998,1935348.7400000002,2072270.5400000000,2067408.6999999997,2030506.7800000000,10168689.3200000003,
FS(6),2084371.8399999999,1938239.6500000001,2119322.8100000001,2025353.7200000000,1991841.2100000000,10159129.2299999986,
FS(7),2109898.8799999999,1937714.0300000003,2125982.1799999997,2045073.2799999998,2015962.8499999999,10234631.2199999988,
FS(8),2106915.2000000002,1930618.1599999999,2076746.5100000000,2061875.1499999999,2034763.5400000000,10210918.5599999987,
FS(9),2108075.5200000000,1966623.1300000001,2090174.4199999999,2057448.3100000001,2043986.5200000000,10266307.8999999985,
FS(10),2109070.0800000001,1973193.3800000001,2092466.9900000000,2065497.1099999999,2067398.7000000000,10307626.2599999979,
FS(11),2110561.9199999999,1964520.6500000001,2083405.8800000001,2050606.8299999998,2044341.2500000000,10253436.5299999993,
FS(12),2160455.6800000002,1951380.1500000001,2128711.4299999997,2057649.5299999998,2033699.3499999999,10331896.1400000006,
FS(13),2165096.9600000004,1917740.4700000002,2135916.6499999999,2058051.9700000000,2044341.2500000000,10321147.2999999989,
FS(14),2215156.4800000000,1970565.2800000003,2136571.6699999999,2063786.7400000000,2034054.0800000001,10420134.2499999981,
FS(15),2219466.2399999998,1961629.7400000002,2139191.7500000000,2055134.2799999998,2049307.4700000002,10424729.4799999986,
FS(16),2227422.7200000002,1963206.6000000003,2156113.1000000001,2051713.5399999998,2067043.9700000002,10465499.9299999997,
FS(17),2216482.5600000001,1948226.4299999999,2140501.7900000000,2069722.7300000000,2057466.2600000000,10432399.7699999996,
FS(18),2240352.0000000000,1940604.9400000002,2150872.9399999999,2058051.9700000000,2021638.5300000000,10411520.3799999990,
FS(19),2246153.6000000001,1940342.1300000001,2176091.2100000000,2075356.8900000001,2030861.5100000000,10468805.3399999999,
FS(20),2259248.6400000001,1972930.5700000001,2233732.9699999997,2089341.6799999999,2026604.7500000000,10581858.6099999994,
