代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,2

初始資金,10000000.0000000000
最後資金,10871511.5199999996
真實報酬,871511.5199999996
趨勢值,0.9236460687

選擇檔數,2
找到最佳解世代,3944
找到最佳解實驗#,2
Stock#,CAT,MCD,
分配資金,5000000,5000000,
張數,41442,25153,
剩餘資金,22.6999999998,86.6600000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5059262.0600000005,5021380.0499999998,10080642.1099999994,
FS(3),5102361.7400000002,5033956.5499999998,10136318.2899999991,
FS(4),5113551.0800000001,5107403.3100000005,10220954.3899999987,
FS(5),5157894.0199999996,5168525.0999999996,10326419.1199999992,
FS(6),5210939.7800000003,5063385.5600000005,10274325.3399999999,
FS(7),5274760.4600000000,5112685.4399999995,10387445.8999999985,
FS(8),5267300.9000000004,5154690.9500000002,10421991.8499999996,
FS(9),5270201.8399999999,5143623.6300000008,10413825.4699999988,
FS(10),5272688.3600000003,5163746.0300000003,10436434.3899999987,
FS(11),5276418.1399999997,5126519.5899999999,10402937.7299999986,
FS(12),5401158.5600000005,5144126.6899999995,10545285.2500000000,
FS(13),5412762.3200000003,5145132.8100000005,10557895.1299999990,
FS(14),5537917.1600000001,5159470.0200000005,10697387.1799999997,
FS(15),5548692.0800000001,5137838.4399999995,10686530.5199999996,
FS(16),5568584.2400000002,5129286.4199999999,10697870.6599999983,
FS(17),5541232.5200000005,5174310.2900000000,10715542.8100000005,
FS(18),5600909.0000000000,5145132.8100000005,10746041.8099999987,
FS(19),5615413.7000000002,5188395.9700000007,10803809.6699999999,
FS(20),5648152.8799999999,5223358.6399999997,10871511.5199999996,
