代數,1000
粒子數,10
旋轉角度,0.0010000000
初始資金,10000000.0000000000
最後資金,11296305.7599999998
真實報酬,1296305.7599999998
趨勢值,0.9099805204

選擇檔數,1
找到最佳解世代,24
Stock#,CAT,
分配資金,10000000,
張數,82884,
剩餘資金,45.4000000004,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10118524.1200000010,10118524.1200000010,
FS(3),10204723.4800000004,10204723.4800000004,
FS(4),10227102.1600000001,10227102.1600000001,
FS(5),10315788.0399999991,10315788.0399999991,
FS(6),10421879.5600000005,10421879.5600000005,
FS(7),10549520.9199999999,10549520.9199999999,
FS(8),10534601.8000000007,10534601.8000000007,
FS(9),10540403.6799999997,10540403.6799999997,
FS(10),10545376.7200000007,10545376.7200000007,
FS(11),10552836.2799999993,10552836.2799999993,
FS(12),10802317.1200000010,10802317.1200000010,
FS(13),10825524.6400000006,10825524.6400000006,
FS(14),11075834.3200000003,11075834.3200000003,
FS(15),11097384.1600000001,11097384.1600000001,
FS(16),11137168.4800000004,11137168.4800000004,
FS(17),11082465.0400000010,11082465.0400000010,
FS(18),11201818.0000000000,11201818.0000000000,
FS(19),11230827.4000000004,11230827.4000000004,
FS(20),11296305.7599999998,11296305.7599999998,
