代數,1000
粒子數,10
旋轉角度,0.0010000000
初始資金,10000000.0000000000
最後資金,10624680.9299999997
真實報酬,624680.9299999997
趨勢值,0.7041486498

選擇檔數,5
找到最佳解世代,903
Stock#,CAT,DD,GS,VZ,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,16576,26281,10917,35473,27824,
剩餘資金,105.5999999999,15.9000000001,114.7700000000,32.2599999999,10.8800000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2023703.6799999999,1947700.8100000001,2073034.7300000000,1994324.3200000001,2047579.0400000003,10086342.5800000001,
FS(3),2040942.7200000000,1967411.5600000001,2057314.2500000000,2023057.4500000000,2030606.4000000001,10119332.3800000008,
FS(4),2045418.2399999998,1909593.3600000001,2072270.5400000000,2041148.6799999999,2067612.3200000003,10136043.1400000006,
FS(5),2063154.5599999998,1935348.7400000002,2072270.5400000000,2030506.7800000000,2075124.8000000000,10176405.4200000018,
FS(6),2084371.8399999999,1938239.6500000001,2119322.8100000001,1991841.2100000000,2084306.7200000000,10218082.2300000004,
FS(7),2109898.8799999999,1937714.0300000003,2125982.1799999997,2015962.8499999999,2082359.0400000003,10271916.9799999986,
FS(8),2106915.2000000002,1930618.1599999999,2076746.5100000000,2034763.5400000000,2059821.6000000001,10208865.0099999998,
FS(9),2108075.5200000000,1966623.1300000001,2090174.4199999999,2043986.5200000000,2077907.2000000004,10286766.7899999991,
FS(10),2109070.0800000001,1973193.3800000001,2092466.9900000000,2067398.7000000000,2068725.2800000000,10310854.4299999997,
FS(11),2110561.9199999999,1964520.6500000001,2083405.8800000001,2044341.2500000000,2089315.0400000003,10292144.7400000002,
FS(12),2160455.6800000002,1951380.1500000001,2128711.4299999997,2033699.3499999999,2107400.6400000001,10381647.2500000000,
FS(13),2165096.9600000004,1917740.4700000002,2135916.6499999999,2044341.2500000000,2095714.5599999998,10358809.8900000006,
FS(14),2215156.4800000000,1970565.2800000003,2136571.6699999999,2034054.0800000001,2131607.5200000005,10487955.0299999993,
FS(15),2219466.2399999998,1961629.7400000002,2139191.7500000000,2049307.4700000002,2161657.4400000004,10531252.6399999987,
FS(16),2227422.7200000002,1963206.6000000003,2156113.1000000001,2067043.9700000002,2141067.6800000006,10554854.0700000022,
FS(17),2216482.5600000001,1948226.4299999999,2140501.7900000000,2057466.2600000000,2122147.3600000003,10484824.4000000004,
FS(18),2240352.0000000000,1940604.9400000002,2150872.9399999999,2021638.5300000000,2131329.2800000003,10484797.6899999995,
FS(19),2246153.6000000001,1940342.1300000001,2176091.2100000000,2030861.5100000000,2109626.5600000001,10503075.0099999998,
FS(20),2259248.6400000001,1972930.5700000001,2233732.9699999997,2026604.7500000000,2132164.0000000000,10624680.9299999997,
