初始資金,10000000
最後資金,11951457.7500000000
真實報酬,1951457.7500000000

二次趨勢線,48.5114857822x^2 + 14485.4014813927x + 10000000
加權每日預期報酬,22538.3081212400
風險,379613.5023604389
二次趨勢值,0.0593717241

平均每日預期報酬,165.7204613239
風險,379613.5023604389
二次趨勢值,0.0004365505

一次趨勢線,19015.0884068403x + 10000000
每日預期報酬,19015.0884068403
風險,388846.5392465597
一次趨勢值,0.0489012669

投資組合檔數,1
Stock#,IBM,
FS(1),10000000.0000000000,
FS(2),9937049.7500000000,
FS(3),10212886.3000000007,
FS(4),10048071.1000000015,
FS(5),9978253.5500000007,
FS(6),9694405.1500000004,
FS(7),9810004.6999999993,
FS(8),9767656.3500000015,
FS(9),9521578.0999999996,
FS(10),9628021.2500000000,
FS(11),9719585.2500000000,
FS(12),9383087.5500000007,
FS(13),10463542.7500000000,
FS(14),10309028.5000000000,
FS(15),10242644.5999999996,
FS(16),10484144.6500000004,
FS(17),10491011.9499999993,
FS(18),10852689.7500000000,
FS(19),10588298.7000000011,
FS(20),10489867.4000000004,
FS(21),10407459.8000000007,
FS(22),10699320.0500000007,
FS(23),10624924.3000000007,
FS(24),10576853.1999999993,
FS(25),11003770.3499999996,
FS(26),11081599.7500000000,
FS(27),10675284.5000000000,
FS(28),10891604.4499999993,
FS(29),10881303.5000000000,
FS(30),10740523.8500000015,
FS(31),10377701.5000000000,
FS(32),10473843.7000000011,
FS(33),10178549.8000000007,
FS(34),10162526.1000000015,
FS(35),9656635.0000000000,
FS(36),9888978.6500000004,
FS(37),9831751.1500000004,
FS(38),10183128.0000000000,
FS(39),10533360.3000000007,
FS(40),10192284.4000000004,
FS(41),10045782.0000000000,
FS(42),10242644.5999999996,
FS(43),10012590.0500000007,
FS(44),9821450.2000000011,
FS(45),9554770.0500000007,
FS(46),9986265.4000000004,
FS(47),10143068.7500000000,
FS(48),10346798.6500000004,
FS(49),10342220.4500000011,
FS(50),10440651.7500000000,
FS(51),10634080.6999999993,
FS(52),10524203.9000000004,
FS(53),10605466.9499999993,
FS(54),10588298.7000000011,
FS(55),11297919.6999999993,
FS(56),11250993.1500000004,
FS(57),11210933.9000000004,
FS(58),11305931.5500000007,
FS(59),10776004.9000000004,
FS(60),10818353.2500000000,
FS(61),11089611.5999999996,
FS(62),11172019.2000000011,
FS(63),11539419.7500000000,
FS(64),11699656.7500000000,
FS(65),11624116.4500000011,
FS(66),11302497.9000000004,
FS(67),11581768.0999999996,
FS(68),11640140.1500000004,
FS(69),11439843.9000000004,
FS(70),11362014.5000000000,
FS(71),11313943.4000000004,
FS(72),11609237.3000000007,
FS(73),11590924.5000000000,
FS(74),11494782.3000000007,
FS(75),11709957.7000000011,
FS(76),11737426.9000000004,
FS(77),11608092.7500000000,
FS(78),11454723.0500000007,
FS(79),11439843.9000000004,
FS(80),11667609.3499999996,
FS(81),11907964.8500000015,
FS(82),11812967.1999999993,
FS(83),11973204.2000000011,
FS(84),12154043.0999999996,
FS(85),12115128.4000000004,
FS(86),11974348.7500000000,
FS(87),11742005.1000000015,
FS(88),11616104.5999999996,
FS(89),11777486.1500000004,
FS(90),11896519.3499999996,
FS(91),11704234.9500000011,
FS(92),11565744.4000000004,
FS(93),11602370.0000000000,
FS(94),11969770.5500000007,
FS(95),12076213.7000000011,
FS(96),11909109.4000000004,
FS(97),11768329.7500000000,
FS(98),11661886.5999999996,
FS(99),12020130.7500000000,
FS(100),11780919.8000000007,
FS(101),11982360.5999999996,
FS(102),12164344.0500000007,
FS(103),12403555.0000000000,
FS(104),12227294.3000000007,
FS(105),12188379.5999999996,
FS(106),12170066.8000000007,
FS(107),12274220.8499999996,
FS(108),12302834.5999999996,
FS(109),12377230.3499999996,
FS(110),12401265.9000000004,
FS(111),12521443.6500000004,
FS(112),12385242.1999999993,
FS(113),12317713.7500000000,
FS(114),12283377.2500000000,
FS(115),12246751.6500000004,
FS(116),12170066.8000000007,
FS(117),12119706.5999999996,
FS(118),11962903.2500000000,
FS(119),11953746.8499999996,
FS(120),11920554.9000000004,
FS(121),12139163.9500000011,
FS(122),12095671.0500000007,
FS(123),12112839.3000000007,
FS(124),11951457.7500000000,
