初始資金,10000000
最後資金,11035452.6400000006
真實報酬,1035452.6400000006

二次趨勢線,-2588.6520206351x^2 + 82539.3437913341x + 10000000
加權每日預期報酬,8331.3191997958
風險,210046.9489884320
二次趨勢值,0.0396640810

平均每日預期報酬,1218.5237779697
風險,210046.9489884320
二次趨勢值,0.0058011972

一次趨勢線,40819.9054122622x + 10000000
每日預期報酬,40819.9054122622
風險,249722.8825787039
一次趨勢值,0.1634608130

投資組合檔數,1
Stock#,HD,
FS(1),10000000.0000000000,
FS(2),10126617.8500000015,
FS(3),10256049.4300000016,
FS(4),10239167.0500000007,
FS(5),10506471.4000000004,
FS(6),10675295.1999999993,
FS(7),10455824.2599999998,
FS(8),10467079.1800000016,
FS(9),10709059.9600000009,
FS(10),10762520.8300000001,
FS(11),10711873.6899999995,
FS(12),10647157.9000000004,
FS(13),10585255.8399999999,
FS(14),10658412.8200000003,
FS(15),10427686.9600000009,
FS(16),10438941.8800000008,
FS(17),10275745.5400000010,
FS(18),10261676.8900000006,
FS(19),10495216.4799999986,
FS(20),10962295.6600000001,
FS(21),11035452.6400000006,
