初始資金,10000000
最後資金,10340032.6799999997
真實報酬,340032.6799999997

二次趨勢線,546.9679454070x^2 + 9238.3299347676x + 10000000
加權每日預期報酬,25647.3682969776
風險,163496.5467107564
二次趨勢值,0.1568679511

平均每日預期報酬,991.7542126877
風險,163496.5467107564
二次趨勢值,0.0060659031

一次趨勢線,18463.8559472990x + 10000000
每日預期報酬,18463.8559472990
風險,166455.1152286418
一次趨勢值,0.1109239324

投資組合檔數,1
Stock#,UNH,
FS(1),10000000.0000000000,
FS(2),9865385.5199999996,
FS(3),9949301.0399999991,
FS(4),10034090.6799999997,
FS(5),9867133.7599999998,
FS(6),10043706.0000000000,
FS(7),9830420.7199999988,
FS(8),9853147.8399999999,
FS(9),10041957.7599999998,
FS(10),10074300.1999999993,
FS(11),10360137.4399999995,
FS(12),10279718.3999999985,
FS(13),10486010.7199999988,
FS(14),10555940.3200000003,
FS(15),10414332.8799999990,
FS(16),10405591.6799999997,
FS(17),10325172.6399999987,
FS(18),10187061.6799999997,
FS(19),10161712.1999999993,
FS(20),10315557.3200000003,
FS(21),10576919.1999999993,
FS(22),10340032.6799999997,
