初始資金,10000000
最後資金,10675337.5000000000
真實報酬,675337.5000000000

二次趨勢線,-152.8824993450x^2 + 61572.2645869981x + 10000000
加權每日預期報酬,57189.6329391069
風險,267069.8447078530
二次趨勢值,0.2141373655

平均每日預期報酬,2771.8499810194
風險,267069.8447078530
二次趨勢值,0.0103787456

一次趨勢線,59108.3675626699x + 10000000
每日預期報酬,59108.3675626699
風險,267188.9371374708
一次趨勢值,0.2212231097

投資組合檔數,1
Stock#,INTC,
FS(1),10000000.0000000000,
FS(2),9824912.5000000000,
FS(3),9774887.5000000000,
FS(4),10045022.5000000000,
FS(5),9954977.5000000000,
FS(6),9854927.5000000000,
FS(7),10145072.5000000000,
FS(8),10385192.5000000000,
FS(9),10565282.5000000000,
FS(10),10775387.5000000000,
FS(11),10990495.0000000000,
FS(12),10970485.0000000000,
FS(13),11105552.5000000000,
FS(14),10975487.5000000000,
FS(15),10815407.5000000000,
FS(16),11085542.5000000000,
FS(17),11125562.5000000000,
FS(18),11275637.5000000000,
FS(19),11160580.0000000000,
FS(20),11110555.0000000000,
FS(21),10675337.5000000000,
