初始資金,10000000
最後資金,10097393.6199999992
真實報酬,97393.6199999992

二次趨勢線,-5632.7197339867x^2 + 107832.5228375915x + 10000000
加權每日預期報酬,-53638.7762033612
風險,256847.8963003676
二次趨勢值,-0.2088347889

平均每日預期報酬,-766.0624433389
風險,256847.8963003676
二次趨勢值,-0.0029825529

一次趨勢線,17054.0396828753x + 10000000
每日預期報酬,17054.0396828753
風險,390307.0298494376
一次趨勢值,0.0436939086

投資組合檔數,1
Stock#,AXP,
FS(1),10000000.0000000000,
FS(2),9965780.6199999992,
FS(3),9948670.9299999997,
FS(4),9871019.2599999998,
FS(5),10492232.6199999992,
FS(6),10694916.6400000006,
FS(7),10705445.6799999997,
FS(8),10660697.2599999998,
FS(9),10629110.1400000006,
FS(10),10648852.0899999999,
FS(11),10660697.2599999998,
FS(12),10692284.3799999990,
FS(13),10654116.6099999994,
FS(14),10365884.1400000006,
FS(15),10138193.6500000004,
FS(16),9824954.7100000009,
FS(17),9676232.0199999996,
FS(18),9953935.4499999993,
FS(19),10118451.6999999993,
FS(20),10088180.7100000009,
FS(21),10097393.6199999992,
