初始資金,10000000
最後資金,10569886.2400000002
真實報酬,569886.2400000002

二次趨勢線,252.7165180941x^2 + 20793.9069398916x + 10000000
加權每日預期報酬,28038.4471252557
風險,60976.3162800485
二次趨勢值,0.4598252049

平均每日預期報酬,1254.9366827601
風險,60976.3162800485
二次趨勢值,0.0205807231

一次趨勢線,24866.7568710360x + 10000000
每日預期報酬,24866.7568710360
風險,62385.6256462468
一次趨勢值,0.3985975393

投資組合檔數,1
Stock#,PG,
FS(1),10000000.0000000000,
FS(2),10043681.1200000010,
FS(3),10066029.6000000015,
FS(4),10049776.1600000020,
FS(5),10011174.2400000002,
FS(6),9996952.4800000004,
FS(7),10115805.7600000016,
FS(8),10163550.2400000002,
FS(9),10278340.1600000020,
FS(10),10292561.9199999999,
FS(11),10406336.0000000000,
FS(12),10311862.8800000008,
FS(13),10351480.6400000025,
FS(14),10333195.5200000014,
FS(15),10411415.2000000011,
FS(16),10327100.4800000004,
FS(17),10357575.6799999997,
FS(18),10465254.7200000007,
FS(19),10453064.6400000025,
FS(20),10519094.2400000002,
FS(21),10569886.2400000002,
