初始資金,10000000
最後資金,10833156.1099999994
真實報酬,833156.1099999994

二次趨勢線,115.8269885261x^2 + 10934.8499000710x + 10000000
加權每日預期報酬,20432.6629592088
風險,397575.6253307983
二次趨勢值,0.0513931480

平均每日預期報酬,296.9856260441
風險,397575.6253307983
二次趨勢值,0.0007469915

一次趨勢線,16277.0166147735x + 10000000
每日預期報酬,16277.0166147735
風險,400604.1788584088
一次趨勢值,0.0406311703

投資組合檔數,1
Stock#,INTC,
FS(1),10000000.0000000000,
FS(2),9685205.5000000000,
FS(3),9343128.8100000005,
FS(4),9424975.3800000008,
FS(5),9485835.6500000022,
FS(6),8971671.3000000007,
FS(7),9223506.9000000022,
FS(8),9408186.3399999999,
FS(9),9330537.0300000012,
FS(10),9523610.9900000021,
FS(11),9636937.0100000016,
FS(12),9561386.3300000019,
FS(13),9720882.2100000009,
FS(14),9641134.2699999996,
FS(15),9611753.4499999993,
FS(16),10016789.0400000010,
FS(17),10306399.9800000004,
FS(18),10474290.3800000008,
FS(19),10344175.3200000003,
FS(20),10039873.9700000007,
FS(21),10279117.7900000010,
FS(22),10440712.3000000007,
FS(23),10642180.7800000012,
FS(24),10770197.2100000009,
FS(25),10648476.6700000018,
FS(26),10952778.0199999996,
FS(27),10812169.8100000005,
FS(28),10866734.1900000013,
FS(29),10883523.2300000004,
FS(30),10677857.4900000021,
FS(31),10738717.7600000016,
FS(32),10667364.3399999999,
FS(33),10818465.6999999993,
FS(34),10820564.3300000019,
FS(35),10667364.3399999999,
FS(36),10358865.7300000004,
FS(37),11013638.2900000010,
FS(38),10742915.0199999996,
FS(39),10409232.8500000015,
FS(40),10929693.0899999999,
FS(41),10266526.0100000016,
FS(42),10440712.3000000007,
FS(43),10491079.4200000018,
FS(44),10572925.9900000021,
FS(45),10239243.8200000003,
FS(46),10398739.6999999993,
FS(47),10759704.0600000005,
FS(48),10724027.3500000015,
FS(49),11064005.4100000001,
FS(50),10883523.2300000004,
FS(51),10996849.2500000000,
FS(52),11236093.0700000003,
FS(53),11250783.4800000004,
FS(54),10959073.9100000001,
FS(55),10814268.4400000013,
FS(56),10724027.3500000015,
FS(57),10797479.4000000022,
FS(58),10782788.9900000021,
FS(59),11133260.1999999993,
FS(60),11066104.0400000010,
FS(61),10833156.1099999994,
