初始資金,10000000
最後資金,10767938.7199999988
真實報酬,767938.7199999988

二次趨勢線,-243.1592143043x^2 + 19137.0456424620x + 10000000
加權每日預期報酬,-802.0099304917
風險,206457.1394483287
二次趨勢值,-0.0038846316

平均每日預期報酬,66.5766287802
風險,206457.1394483287
二次趨勢值,0.0003224719

一次趨勢線,7922.0682217435x + 10000000
每日預期報酬,7922.0682217435
風險,230820.6838349997
一次趨勢值,0.0343213099

投資組合檔數,1
Stock#,PG,
FS(1),10000000.0000000000,
FS(2),10024556.1799999997,
FS(3),10179706.5899999999,
FS(4),10214308.4800000004,
FS(5),10189752.2999999989,
FS(6),10197565.6299999990,
FS(7),10314765.5799999982,
FS(8),10347135.0899999999,
FS(9),10433081.7199999988,
FS(10),10435314.0999999978,
FS(11),10473264.5599999987,
FS(12),10472148.3699999992,
FS(13),10412990.2999999989,
FS(14),10280163.6899999976,
FS(15),10203146.5799999982,
FS(16),10217657.0499999989,
FS(17),10262304.6499999985,
FS(18),10349367.4699999988,
FS(19),10381736.9800000004,
FS(20),10360529.3699999992,
FS(21),10549165.4800000004,
FS(22),10416338.8699999992,
FS(23),10415222.6799999997,
FS(24),10442011.2399999984,
FS(25),10319230.3399999999,
FS(26),10383969.3599999994,
FS(27),10482194.0799999982,
FS(28),10495588.3599999994,
FS(29),10770171.0999999978,
FS(30),10786913.9499999993,
FS(31),10354948.4199999981,
FS(32),10323695.0999999978,
FS(33),10242213.2300000004,
FS(34),10155150.4100000001,
FS(35),10154034.2199999988,
FS(36),9751089.6299999990,
FS(37),10055809.5000000000,
FS(38),10271234.1699999981,
FS(39),10177474.2099999990,
FS(40),10260072.2699999996,
FS(41),10188636.1099999994,
FS(42),10117199.9499999993,
FS(43),10323695.0999999978,
FS(44),10282396.0700000003,
FS(45),10320346.5299999993,
FS(46),10151801.8399999999,
FS(47),10176358.0199999996,
FS(48),10243329.4199999981,
FS(49),10174125.6400000006,
FS(50),10270117.9800000004,
FS(51),10198681.8200000003,
FS(52),10117199.9499999993,
FS(53),10204262.7699999996,
FS(54),10094876.1499999985,
FS(55),10585999.7500000000,
FS(56),10525725.4899999984,
FS(57),10447592.1899999976,
FS(58),10438662.6699999981,
FS(59),10440895.0499999989,
FS(60),10550281.6699999981,
FS(61),10767938.7199999988,
