初始資金,10000000.0000000000
最後資金,13145704.1300000008
真實報酬,3145704.1300000008

二次趨勢線,-3.2420444755x^2 + 12372.2623771237x + 10000000.0000000000
加權每日預期報酬,11285.0967963332
風險,294786.7332411899
二次趨勢值,0.0382822411

平均每日預期報酬,46.0369209932
風險,294786.7332411899
二次趨勢值,0.0001561703

一次趨勢線,11760.7341549602x + 10000000.0000000000
每日預期報酬,11760.7341549602
風險,295678.7137861123
一次趨勢值,0.0397753832

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),10013522.6400000006,
FS(3),10191007.2900000010,
FS(4),10392156.5600000005,
FS(5),10432724.4800000004,
FS(6),10588234.8399999999,
FS(7),10527382.9600000009,
FS(8),10620351.1100000013,
FS(9),10508789.3300000001,
FS(10),10747125.8600000013,
FS(11),10907707.2100000009,
FS(12),10745435.5300000012,
FS(13),10814739.0600000005,
FS(14),10718390.2500000000,
FS(15),10813048.7300000004,
FS(16),10816429.3900000006,
FS(17),10855306.9800000004,
FS(18),10894184.5700000003,
FS(19),10750506.5200000014,
FS(20),10691344.9700000007,
FS(21),10740364.5400000010,
FS(22),10564570.2200000007,
FS(23),10474982.7300000004,
FS(24),10410750.1900000013,
FS(25),10468221.4100000001,
FS(26),10245097.8500000015,
FS(27),10243407.5200000014,
FS(28),10319472.3700000010,
FS(29),10422582.5000000000,
FS(30),10503718.3399999999,
FS(31),10480053.7200000007,
FS(32),10551047.5800000001,
FS(33),10466531.0800000001,
FS(34),10508789.3300000001,
FS(35),10591615.5000000000,
FS(36),10644015.7300000004,
FS(37),10709938.6000000015,
FS(38),10720080.5800000001,
FS(39),10752196.8500000015,
FS(40),10748816.1900000013,
FS(41),10630493.0899999999,
FS(42),10554428.2400000002,
FS(43),10611899.4600000009,
FS(44),10530763.6200000010,
FS(45),10387085.5700000003,
FS(46),10463150.4199999999,
FS(47),10453008.4400000013,
FS(48),10534144.2800000012,
FS(49),10591615.5000000000,
FS(50),10579783.1900000013,
