初始資金,10000000.0000000000
最後資金,13256772.3100000005
真實報酬,3256772.3100000005

二次趨勢線,8.1068896923x^2 + 12398.2839348600x + 10000000.0000000000
加權每日預期報酬,15138.4126508717
風險,224521.9652128829
二次趨勢值,0.0674250853

平均每日預期報酬,57.1440075759
風險,224521.9652128829
二次趨勢值,0.0002545141

一次趨勢線,13939.6003413964x + 10000000.0000000000
每日預期報酬,13939.6003413964
風險,231968.2945882081
一次趨勢值,0.0600926966

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),9973294.1999999993,
FS(3),10180264.1499999985,
FS(4),10152223.0600000005,
FS(5),10186940.5999999996,
FS(6),10086793.8499999996,
FS(7),10118840.8100000005,
FS(8),10239016.9100000001,
FS(9),10245693.3599999994,
FS(10),10104152.6199999992,
FS(11),10030711.6699999999,
FS(12),9798371.2099999990,
FS(13),9801041.7900000010,
FS(14),9746294.8999999985,
FS(15),9849112.2300000004,
FS(16),9863800.4199999999,
FS(17),9951929.5600000005,
FS(18),10005341.1600000001,
FS(19),10048070.4399999995,
FS(20),10014688.1899999995,
FS(21),10064093.9199999999,
FS(22),10122846.6799999997,
FS(23),10160234.8000000007,
FS(24),10146881.8999999985,
FS(25),10200293.5000000000,
FS(26),10228334.5899999980,
FS(27),10244358.0699999984,
FS(28),10149552.4800000004,
FS(29),10153558.3499999996,
FS(30),10181599.4399999995,
FS(31),10236346.3299999982,
FS(32),10267058.0000000000,
FS(33),10291093.2199999988,
FS(34),10332487.2099999990,
FS(35),10281746.1899999995,
FS(36),10228334.5899999980,
FS(37),10468686.7900000010,
FS(38),10269728.5799999982,
FS(39),10299104.9599999990,
FS(40),10273734.4499999993,
FS(41),10397916.4199999999,
FS(42),10419281.0600000005,
FS(43),10456669.1799999997,
FS(44),10500733.7500000000,
FS(45),10540792.4499999993,
FS(46),10558151.2199999988,
FS(47),10495392.5899999980,
FS(48),10508745.4900000002,
FS(49),10590198.1799999997,
FS(50),10643609.7799999993,
