初始資金,10000000.0000000000
最後資金,14865537.0699999984
真實報酬,4865537.0699999984

二次趨勢線,6.9339979552x^2 + 17044.3798618562x + 10000000.0000000000
加權每日預期報酬,19369.5805094860
風險,267086.0200333278
二次趨勢值,0.0725218808

平均每日預期報酬,74.8675193090
風險,267086.0200333278
二次趨勢值,0.0002803124

一次趨勢線,18352.3000566663x + 10000000.0000000000
每日預期報酬,18352.3000566663
風險,271558.7931622951
一次趨勢值,0.0675813140

投資組合檔數,1
Stock#,PG,
FS(1),10000000.0000000000,
FS(2),10082466.7299999986,
FS(3),9923509.1199999992,
FS(4),9790845.2500000000,
FS(5),9818334.1600000001,
FS(6),9848213.4100000001,
FS(7),9824310.0099999998,
FS(8),9733477.0899999999,
FS(9),9426318.4000000004,
FS(10),9449026.6299999990,
FS(11),9576909.8199999984,
FS(12),9682084.7799999993,
FS(13),9783674.2299999986,
FS(14),9590056.6899999995,
FS(15),10433846.7099999990,
FS(16),10350184.8099999987,
FS(17),10417114.3299999982,
FS(18),10692003.4299999978,
FS(19),10637025.6099999994,
FS(20),10500776.2299999986,
FS(21),10546192.6899999995,
FS(22),10659733.8399999999,
FS(23),10598780.1699999999,
FS(24),10707540.6400000006,
FS(25),10733834.3799999990,
FS(26),10899963.0099999998,
FS(27),10937013.2799999993,
FS(28),10910719.5400000010,
FS(29),10919085.7299999986,
FS(30),11044578.5799999982,
FS(31),11079238.5099999998,
FS(32),11171266.5999999996,
FS(33),11173656.9399999995,
FS(34),11214292.7199999988,
FS(35),11213097.5499999989,
FS(36),11149753.5400000010,
FS(37),11007528.3099999987,
FS(38),10925061.5799999982,
FS(39),10940598.7900000010,
FS(40),10988405.5899999999,
FS(41),11081628.8499999996,
FS(42),11116288.7799999993,
FS(43),11093580.5499999989,
FS(44),11295564.2799999993,
FS(45),11153339.0499999989,
FS(46),11152143.8799999990,
FS(47),11180827.9599999990,
FS(48),11049359.2599999998,
FS(49),11118679.1199999992,
FS(50),11223854.0799999982,
FS(51),11238196.1199999992,
FS(52),11532207.9399999995,
FS(53),11550135.4900000002,
FS(54),11087604.6999999993,
FS(55),11054139.9399999995,
FS(56),10966892.5299999993,
FS(57),10873669.2699999996,
FS(58),10872474.0999999996,
FS(59),10441017.7299999986,
FS(60),10767299.1400000006,
FS(61),10997966.9499999993,
FS(62),10897572.6699999999,
FS(63),10986015.2500000000,
FS(64),10909524.3699999992,
FS(65),10833033.4900000002,
FS(66),11054139.9399999995,
FS(67),11009918.6500000004,
FS(68),11050554.4299999978,
FS(69),10870083.7599999998,
FS(70),10896377.5000000000,
FS(71),10968087.6999999993,
FS(72),10893987.1600000001,
FS(73),10996771.7799999993,
FS(74),10920280.9000000004,
FS(75),10833033.4900000002,
FS(76),10926256.7500000000,
FS(77),10809130.0899999999,
FS(78),11335004.8900000006,
FS(79),11270465.7099999990,
FS(80),11186803.8099999987,
FS(81),11177242.4499999993,
FS(82),11179632.7900000010,
FS(83),11296759.4499999993,
FS(84),11529817.5999999996,
FS(85),11649334.5999999996,
FS(86),11716264.1199999992,
FS(87),11645749.0899999999,
FS(88),11703117.2500000000,
FS(89),11609893.9900000002,
FS(90),11678018.6799999978,
FS(91),11744948.1999999993,
